pair_uid,row_kind,track,parent_pair_uid,review_label,seller_uid_left,seller_uid_right,split_name,component_id,fold,evidence_type,silver_train_only,training_sample_weight,seed,variant_index,transform,synthetic_train_only,synthetic_split_name,identifier_redacted_e5_cosine,clean_token_jaccard,clean_char3_jaccard,clean_title_token_jaccard,clean_description_token_jaccard,clean_category_token_jaccard,clean_text_length_gap_ratio,clean_segment_count_gap_ratio,clean_field_presence_match_fraction
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/436862,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/negative/v01/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.860667109489,0.033898305085,0.007843137255,0.068965517241,0.017543859649,0.333333333333,0.914893617021,0.666666666667,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:264776||market_item.xlsx|茶马古道|seller_raw:/shop/385,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_002/positive/v01/right,train,zh_target_strict_cc_5d2591f16cbcd99a,0,same_controller_style_structural_soft,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.896865248680,0.466926070039,0.257600000000,0.150000000000,0.460000000000,0.285714285714,0.324232081911,0.409090909091,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:41552||market_item.xlsx|中文暗网交易市场|seller_raw:546723,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.866891562939,0.070175438596,0.008771929825,0.090909090909,0.074074074074,0.500000000000,0.891891891892,0.545454545455,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:19692||market_item.xlsx|中文暗网交易市场|seller_raw:357141,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v00/right,train,zh_target_strict_cc_e21fd6d89ecb3687,0,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.907631814480,0.262376237624,0.114228456914,0.111111111111,0.254054054054,0.571428571429,0.545066991474,0.280000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:41552||market_item.xlsx|中文暗网交易市场|seller_raw:546723,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/negative/v01/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.844074130058,0.070175438596,0.008695652174,0.090909090909,0.074074074074,0.500000000000,0.891891891892,0.545454545455,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:19692||market_item.xlsx|中文暗网交易市场|seller_raw:357141,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_003/positive/v01/right,train,zh_target_strict_cc_e21fd6d89ecb3687,0,same_controller_style_structural_soft,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.907782077789,0.262376237624,0.114285714286,0.111111111111,0.254054054054,0.571428571429,0.545066991474,0.280000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:47411||market_item.xlsx|中文暗网交易市场|seller_raw:60931,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v00/right,train,zh_target_strict_cc_0209f4b7c62ccade,3,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.857031464577,0.030030030030,0.003872966692,0.049180327869,0.000000000000,1.000000000000,0.990162693908,0.934782608696,0.600000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:39516||market_item.xlsx|中文暗网交易市场|seller_raw:64954,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v00/right,train,zh_target_strict_cc_e052ce9c91056a43,3,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.905845522881,0.206997084548,0.120930232558,0.041958041958,0.205882352941,0.210526315789,0.762615859938,0.722222222222,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:47411||market_item.xlsx|中文暗网交易市场|seller_raw:60931,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/negative/v01/right,train,zh_target_strict_cc_0209f4b7c62ccade,3,ordinary_negative,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.861934065819,0.030030030030,0.003888024883,0.049180327869,0.000000000000,1.000000000000,0.990125332321,0.934782608696,0.600000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:39516||market_item.xlsx|中文暗网交易市场|seller_raw:64954,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_004/positive/v01/right,train,zh_target_strict_cc_e052ce9c91056a43,3,same_controller_style_structural_soft,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.884998857975,0.206997084548,0.122147083686,0.041958041958,0.205882352941,0.210526315789,0.762615859938,0.722222222222,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:41552||market_item.xlsx|中文暗网交易市场|seller_raw:569522,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.870145916939,0.074468085106,0.011111111111,0.071428571429,0.070588235294,0.500000000000,0.892307692308,0.500000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:26383||market_item.xlsx|茶马古道|seller_raw:/shop/404544,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v00/right,train,zh_target_strict_cc_f90ae29225a92855,0,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.895242214203,0.471317829457,0.168611670020,0.275862068966,0.473941368078,0.380952380952,0.129009265859,0.020408163265,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:41552||market_item.xlsx|中文暗网交易市场|seller_raw:569522,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/negative/v01/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.893327713013,0.074468085106,0.010989010989,0.071428571429,0.070588235294,0.500000000000,0.892307692308,0.500000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:26383||market_item.xlsx|茶马古道|seller_raw:/shop/404544,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_005/positive/v01/right,train,zh_target_strict_cc_f90ae29225a92855,0,same_controller_style_structural_soft,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.935316264629,0.471317829457,0.167874396135,0.275862068966,0.473941368078,0.380952380952,0.127454480543,0.020408163265,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:462418||market_item.xlsx|中文暗网交易市场|seller_raw:6639,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v00/right,train,zh_target_strict_cc_69603dfb2bfd9f9f,2,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.913846135139,0.068493150685,0.010544815466,0.148148148148,0.010362694301,0.000000000000,0.837686567164,0.444444444444,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:342077||market_item.xlsx|茶马古道|seller_raw:/shop/449476,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v00/right,train,zh_target_strict_cc_520079d78e2d7142,2,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.911365568638,0.281250000000,0.035051546392,0.576923076923,0.243243243243,0.500000000000,0.232432432432,0.300000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:462418||market_item.xlsx|中文暗网交易市场|seller_raw:6639,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/negative/v01/right,train,zh_target_strict_cc_69603dfb2bfd9f9f,2,ordinary_negative,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.907191693783,0.068493150685,0.014010507881,0.148148148148,0.010362694301,0.000000000000,0.837383177570,0.444444444444,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:342077||market_item.xlsx|茶马古道|seller_raw:/shop/449476,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_006/positive/v01/right,train,zh_target_strict_cc_520079d78e2d7142,2,same_controller_style_structural_soft,,0.250000000000,20260321,1,segment_order_permutation_with_layout_normalization,1,synthetic_train_only,0.914854526520,0.281250000000,0.034907597536,0.576923076923,0.243243243243,0.500000000000,0.232432432432,0.300000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:28990||market_item.xlsx|中文暗网交易市场|seller_raw:32559,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v00/right,train,zh_target_strict_cc_22709e967eba3940,3,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.855081498623,0.161764705882,0.044444444444,0.166666666667,0.000000000000,1.000000000000,0.876712328767,0.666666666667,0.600000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:46626,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v00/right,train,zh_target_strict_cc_f4a53fc0f07dd266,3,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.952737808228,0.454545454545,0.258064516129,0.333333333333,0.200000000000,1.000000000000,0.444444444444,0.000000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:28990||market_item.xlsx|中文暗网交易市场|seller_raw:32559,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/negative/v01/right,train,zh_target_strict_cc_22709e967eba3940,3,ordinary_negative,,0.250000000000,20260321,1,section_order_rotation,1,synthetic_train_only,0.853009223938,0.161764705882,0.044444444444,0.166666666667,0.000000000000,1.000000000000,0.876712328767,0.666666666667,0.600000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:46626,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_007/positive/v01/right,train,zh_target_strict_cc_f4a53fc0f07dd266,3,same_controller_style_structural_soft,,0.250000000000,20260321,1,section_order_rotation,1,synthetic_train_only,0.956193208694,0.454545454545,0.258064516129,0.333333333333,0.200000000000,1.000000000000,0.444444444444,0.000000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:506438||market_item.xlsx|茶马古道|seller_raw:/shop/463712,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v00/right,train,zh_target_strict_cc_aa08c51a98212568,3,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.903942227364,0.173913043478,0.074074074074,0.235294117647,0.235294117647,0.000000000000,0.297872340426,0.000000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:68679,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v00/right,train,zh_target_strict_cc_f4a53fc0f07dd266,3,same_controller_style_structural_soft,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.975612044334,0.461538461538,0.400000000000,0.500000000000,0.272727272727,1.000000000000,0.347222222222,0.000000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:506438||market_item.xlsx|茶马古道|seller_raw:/shop/463712,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/negative/v01/right,train,zh_target_strict_cc_aa08c51a98212568,3,ordinary_negative,,0.250000000000,20260321,1,section_order_rotation,1,synthetic_train_only,0.904587328434,0.173913043478,0.074074074074,0.235294117647,0.235294117647,0.000000000000,0.297872340426,0.000000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v01/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:68679,positive,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_008/positive/v01/right,train,zh_target_strict_cc_f4a53fc0f07dd266,3,same_controller_style_structural_soft,,0.250000000000,20260321,1,section_order_rotation,1,synthetic_train_only,0.975209951401,0.461538461538,0.400000000000,0.500000000000,0.272727272727,1.000000000000,0.347222222222,0.000000000000,1.000000000000
synthetic://step27/v1_1/primary/seed_20260321/primary_matched_009/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260321/primary_matched_009/negative/v00/right,synthetic_transformed,primary,market_item.xlsx|中文暗网交易市场|seller_raw:41552||market_item.xlsx|中文暗网交易市场|seller_raw:581981,negative,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_009/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260321/primary_matched_009/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260321,0,section_order_rotation,1,synthetic_train_only,0.895471513271,0.081081081081,0.014598540146,0.083333333333,0.090909090909,0.500000000000,0.896678966790,0.500000000000,1.000000000000
