component_id,fold,pair_count,positive_count,negative_count,assignment_seed
zh_target_strict_cc_24468cf3d79f4986,3,1,0,1,20260718
zh_target_strict_cc_24560515b232e815,1,1,1,0,20260718
zh_target_strict_cc_245889cf959364bf,2,1,0,1,20260718
zh_target_strict_cc_250e957c9c11ae99,3,1,1,0,20260718
zh_target_strict_cc_26bf65014a42f3b2,2,1,1,0,20260718
zh_target_strict_cc_274e42e6b17c18b4,2,1,0,1,20260718
zh_target_strict_cc_290f4bfb9bba0476,1,8,8,0,20260718
zh_target_strict_cc_2b1fa837c0e49726,3,1,0,1,20260718
zh_target_strict_cc_2bb373b8ca63845e,1,1,0,1,20260718
zh_target_strict_cc_2e5c7caaf65dd8e0,0,175,11,164,20260718
zh_target_strict_cc_2e859afa63a87be7,3,1,1,0,20260718
zh_target_strict_cc_2e920f6c519b2ad9,3,1,1,0,20260718
zh_target_strict_cc_2ebc04c07cd47d7e,3,1,1,0,20260718
zh_target_strict_cc_2f838dcb03b62302,1,1,0,1,20260718
zh_target_strict_cc_30308228dc245437,3,2,1,1,20260718
zh_target_strict_cc_310cb72487680fb8,1,15,15,0,20260718
zh_target_strict_cc_3557f84f9cafa0ec,0,1,1,0,20260718
zh_target_strict_cc_362861a99efafbf2,1,1,1,0,20260718
zh_target_strict_cc_3645b00000fe67f3,1,1,0,1,20260718
zh_target_strict_cc_367bf011d659e957,1,2,1,1,20260718
zh_target_strict_cc_373bf8893cecb2ec,3,1,1,0,20260718
zh_target_strict_cc_389e783f2488c7c0,2,1,0,1,20260718
zh_target_strict_cc_391d1c0721270534,1,1,0,1,20260718
zh_target_strict_cc_3b05f980bd46ca48,2,3,0,3,20260718
zh_target_strict_cc_3d5b6380f06ce631,3,1,0,1,20260718
zh_target_strict_cc_3ea8308794671330,2,1,1,0,20260718
zh_target_strict_cc_40b9a504f5ac5810,3,1,0,1,20260718
zh_target_strict_cc_42f58d3f37341b52,0,2,2,0,20260718
zh_target_strict_cc_457d608c3b83287a,1,1,1,0,20260718
zh_target_strict_cc_494da64942501206,2,1,1,0,20260718
zh_target_strict_cc_4c314b10f707c75d,3,1,0,1,20260718
zh_target_strict_cc_4f4c98ff7b9e05b7,3,1,1,0,20260718
zh_target_strict_cc_50c6ef9245347923,3,1,0,1,20260718
zh_target_strict_cc_520079d78e2d7142,2,1,1,0,20260718
zh_target_strict_cc_52557091d1ce932e,3,2,0,2,20260718
zh_target_strict_cc_52743f2ee9548722,2,1,1,0,20260718
zh_target_strict_cc_52e8a0292a9fd43e,3,1,1,0,20260718
zh_target_strict_cc_540db623f3f9599c,2,21,21,0,20260718
zh_target_strict_cc_57338a1a958a0eb1,2,1,1,0,20260718
zh_target_strict_cc_583ebde7d72d4d78,0,1,1,0,20260718
zh_target_strict_cc_5ab9a9542992a12d,1,3,1,2,20260718
zh_target_strict_cc_5b608ee442acd1f9,1,1,0,1,20260718
zh_target_strict_cc_5ca417cf4a8ec539,1,1,1,0,20260718
zh_target_strict_cc_5ccbcc47c3519a86,1,5,1,4,20260718
zh_target_strict_cc_5d2591f16cbcd99a,0,1,1,0,20260718
zh_target_strict_cc_5e47151b4b14f7ff,3,1,1,0,20260718
zh_target_strict_cc_5f3007b108bb99c2,1,1,0,1,20260718
zh_target_strict_cc_6127caefc2200ba7,1,1,1,0,20260718
zh_target_strict_cc_65aa5f92e3ce4f58,1,1,1,0,20260718
zh_target_strict_cc_67a29b27042257ea,3,1,0,1,20260718
zh_target_strict_cc_68f6d5b8f5934c8b,1,1,1,0,20260718
zh_target_strict_cc_68fc70315046ed69,3,1,0,1,20260718
zh_target_strict_cc_69603dfb2bfd9f9f,2,1,0,1,20260718
zh_target_strict_cc_69a030ad6f93d0e3,3,2,0,2,20260718
zh_target_strict_cc_6c892e776bb10ae4,1,4,0,4,20260718
zh_target_strict_cc_6d42501cee919350,2,3,1,2,20260718
zh_target_strict_cc_6e67aad6908e959c,3,1,1,0,20260718
zh_target_strict_cc_6ee7573f2af2393f,2,1,0,1,20260718
zh_target_strict_cc_6f5e7e731ed947dd,1,1,0,1,20260718
zh_target_strict_cc_713879c4ee5f08cb,1,4,1,3,20260718
zh_target_strict_cc_724a7b813e90180a,2,1,0,1,20260718
zh_target_strict_cc_730500bfc72cf275,0,1,1,0,20260718
zh_target_strict_cc_738de69abc9fccc8,1,1,0,1,20260718
zh_target_strict_cc_75bf62566023d013,1,1,0,1,20260718
zh_target_strict_cc_794815366de86d2f,3,1,0,1,20260718
zh_target_strict_cc_799c1a28c3d154c4,2,1,0,1,20260718
zh_target_strict_cc_7b3d44167c3abe40,1,1,0,1,20260718
zh_target_strict_cc_7c4e8e17f0966814,2,1,0,1,20260718
zh_target_strict_cc_7da9eb6e659ef940,3,4,2,2,20260718
zh_target_strict_cc_8045caf98ada5b55,1,1,0,1,20260718
zh_target_strict_cc_8143700a54ec0f46,3,1,0,1,20260718
zh_target_strict_cc_862473627d85452b,2,1,0,1,20260718
zh_target_strict_cc_871c67180b653d4d,2,1,0,1,20260718
zh_target_strict_cc_87624e44dbf173af,3,3,1,2,20260718
zh_target_strict_cc_8842b549ab847af9,1,2,1,1,20260718
zh_target_strict_cc_896ef6b0854f3709,2,1,0,1,20260718
zh_target_strict_cc_8a36a12d1bb0d48c,3,1,0,1,20260718
zh_target_strict_cc_8c0788b021fc05fc,1,1,1,0,20260718
zh_target_strict_cc_8d33c8afc8c62613,2,1,0,1,20260718
zh_target_strict_cc_8d579273f8d400c6,3,32,32,0,20260718
zh_target_strict_cc_8d59425a6c8933a2,3,1,0,1,20260718
zh_target_strict_cc_8e0c2337b28313db,2,1,0,1,20260718
zh_target_strict_cc_8ee274a9b6416c74,2,1,1,0,20260718
zh_target_strict_cc_8efc6e0a2efbd15b,0,2,2,0,20260718
zh_target_strict_cc_8f7524095bfd62d4,0,1,1,0,20260718
zh_target_strict_cc_91bfa095c1c39ade,2,2,2,0,20260718
zh_target_strict_cc_9466901f53cad223,2,1,1,0,20260718
zh_target_strict_cc_980a1719d9f0d148,3,2,0,2,20260718
zh_target_strict_cc_98fd200e7860ef19,1,1,0,1,20260718
zh_target_strict_cc_98ff17826496a458,1,1,1,0,20260718
zh_target_strict_cc_99581fd2523fdaac,1,1,1,0,20260718
zh_target_strict_cc_9991bf542ace4262,2,3,1,2,20260718
zh_target_strict_cc_9a8e93f7a35ac2d6,1,1,0,1,20260718
zh_target_strict_cc_9ad2ae4ca9a83c6a,1,4,4,0,20260718
zh_target_strict_cc_9b3ae496f9be5a2f,2,2,1,1,20260718
zh_target_strict_cc_9be23801b5ee90b0,2,4,0,4,20260718
zh_target_strict_cc_9ce34c21ebedda04,2,6,6,0,20260718
zh_target_strict_cc_9ddda7715349ff55,3,1,0,1,20260718
zh_target_strict_cc_9e435cf6bbaaa3e5,2,1,0,1,20260718
zh_target_strict_cc_a0470d4df17304ad,3,1,1,0,20260718
zh_target_strict_cc_a075d160d8e9bceb,3,3,1,2,20260718
zh_target_strict_cc_a1175d9202492312,0,1,1,0,20260718
zh_target_strict_cc_a13227462a43c517,2,1,0,1,20260718
zh_target_strict_cc_a4907cf1273476d7,1,1,1,0,20260718
zh_target_strict_cc_a674ba2bd68a41e6,1,1,0,1,20260718
zh_target_strict_cc_a78858d9e59583c0,0,1,1,0,20260718
zh_target_strict_cc_a9ca9c9cfd7003e9,3,1,0,1,20260718
zh_target_strict_cc_aa08c51a98212568,3,1,0,1,20260718
zh_target_strict_cc_aa4d7cbe998149ab,0,1,1,0,20260718
zh_target_strict_cc_aba8abaab2297ee7,1,1,0,1,20260718
zh_target_strict_cc_ae39390ce2a3d2d8,2,1,1,0,20260718
zh_target_strict_cc_af15240d9d8910cb,3,2,1,1,20260718
zh_target_strict_cc_af4e0fda40d26ac9,3,1,0,1,20260718
zh_target_strict_cc_b13c24f24da07e1e,2,1,1,0,20260718
zh_target_strict_cc_b1583d3bd57254f1,1,1,0,1,20260718
zh_target_strict_cc_b22baa8e3e29405b,1,1,0,1,20260718
zh_target_strict_cc_b64182bc28570696,2,1,1,0,20260718
zh_target_strict_cc_b68b990231714a2c,1,1,0,1,20260718
zh_target_strict_cc_b6d2156638a09a58,0,1,1,0,20260718
zh_target_strict_cc_b79d194b6a116fd4,0,1,1,0,20260718
zh_target_strict_cc_b808c0c2b9db88ee,1,5,3,2,20260718
zh_target_strict_cc_b9be85f5e430bc45,1,1,0,1,20260718
zh_target_strict_cc_ba20dfb50f909f23,2,1,0,1,20260718
zh_target_strict_cc_bcbe23c5d79798cc,1,1,0,1,20260718
zh_target_strict_cc_bda6d94a4056b6e4,3,1,0,1,20260718
zh_target_strict_cc_bdbbd819a13285cb,3,5,1,4,20260718
zh_target_strict_cc_bed18e70980d245d,1,1,0,1,20260718
zh_target_strict_cc_bef5744dad069362,3,1,0,1,20260718
zh_target_strict_cc_c16a6406195c4f1c,2,1,0,1,20260718
zh_target_strict_cc_c1b29797a191ad53,1,4,3,1,20260718
zh_target_strict_cc_c1efc297ca499bb8,1,1,1,0,20260718
zh_target_strict_cc_c23799bb90a83e19,2,1,0,1,20260718
zh_target_strict_cc_c2a1f44082b1e4d3,0,1,1,0,20260718
zh_target_strict_cc_c4b8f5a840796f04,0,1,1,0,20260718
zh_target_strict_cc_c4bdaa82ef3cd173,3,1,1,0,20260718
zh_target_strict_cc_c625a925bf8e6ee0,1,1,0,1,20260718
zh_target_strict_cc_c7d9a8fe3fa74e95,2,1,0,1,20260718
zh_target_strict_cc_ca1d8d3ae9645085,0,1,1,0,20260718
zh_target_strict_cc_ca3af113ac817cad,3,1,0,1,20260718
zh_target_strict_cc_cabde8e285b8321c,2,1,1,0,20260718
zh_target_strict_cc_ccff1905755794ed,2,2,0,2,20260718
zh_target_strict_cc_cfb492b4bd6347d5,3,1,0,1,20260718
zh_target_strict_cc_d1d2741f22107e0b,2,1,1,0,20260718
zh_target_strict_cc_d21d5c577bf0cfc7,1,3,2,1,20260718
zh_target_strict_cc_d30b8a7ef8b6700c,2,2,0,2,20260718
zh_target_strict_cc_d3e35a9ebbaf2f37,1,1,0,1,20260718
zh_target_strict_cc_d5a4b7e03a6c8450,3,1,0,1,20260718
zh_target_strict_cc_d72695fcd6e5426a,1,2,0,2,20260718
zh_target_strict_cc_dc0630210f22a74f,1,3,3,0,20260718
zh_target_strict_cc_dd6e633ee72cde4d,3,2,0,2,20260718
zh_target_strict_cc_e01a2866bbaf02be,3,4,1,3,20260718
zh_target_strict_cc_e026cd3f53432818,3,1,0,1,20260718
zh_target_strict_cc_e052ce9c91056a43,3,1,1,0,20260718
zh_target_strict_cc_e077b53eac17cad5,3,1,0,1,20260718
zh_target_strict_cc_e0e1103349381b87,2,1,0,1,20260718
zh_target_strict_cc_e108ae245ed1ace6,2,1,1,0,20260718
zh_target_strict_cc_e21c6d7e9969daf0,2,1,0,1,20260718
zh_target_strict_cc_e21fd6d89ecb3687,0,1,1,0,20260718
zh_target_strict_cc_e3c807049ac8a064,1,1,0,1,20260718
zh_target_strict_cc_e3d84786f29926f2,2,1,1,0,20260718
zh_target_strict_cc_e4b823abe5885998,2,1,0,1,20260718
zh_target_strict_cc_e60bd09ea06f8cc8,2,1,0,1,20260718
zh_target_strict_cc_e75b83ed3f3925b8,3,1,1,0,20260718
zh_target_strict_cc_e7f110e0f3cbd929,2,1,0,1,20260718
zh_target_strict_cc_ea2b0f7ed4d6a219,0,1,1,0,20260718
zh_target_strict_cc_ea582c736a57d944,1,1,0,1,20260718
zh_target_strict_cc_ebd28321d0ad1cd9,3,1,1,0,20260718
zh_target_strict_cc_ebf736fa5ae50aa2,1,1,0,1,20260718
zh_target_strict_cc_ec1dc6d5a557bca9,2,2,1,1,20260718
zh_target_strict_cc_edff0c321d85e39a,1,1,0,1,20260718
zh_target_strict_cc_efbaf66d35e81d47,3,1,1,0,20260718
zh_target_strict_cc_efca46e72d966ee9,2,4,2,2,20260718
zh_target_strict_cc_f01f31bc246f92c9,1,1,0,1,20260718
zh_target_strict_cc_f08397058037ed58,1,1,1,0,20260718
zh_target_strict_cc_f186831a8ff4c7f7,3,1,0,1,20260718
zh_target_strict_cc_f1ea2393a16a8e9c,2,1,1,0,20260718
zh_target_strict_cc_f2284c6c25ecca95,3,1,0,1,20260718
zh_target_strict_cc_f4550e505e6a7bb3,3,1,0,1,20260718
zh_target_strict_cc_f4a53fc0f07dd266,3,3,2,1,20260718
zh_target_strict_cc_f5730b9a4f881954,2,1,0,1,20260718
zh_target_strict_cc_f65cdcbf3ab490cb,0,2,2,0,20260718
zh_target_strict_cc_f7f70f2184be4bbd,0,3,3,0,20260718
zh_target_strict_cc_f895ae9155d13851,0,1,1,0,20260718
zh_target_strict_cc_f8a04f9eb50a8430,0,1,1,0,20260718
zh_target_strict_cc_f8f0b134cefe00db,1,1,1,0,20260718
zh_target_strict_cc_f90ae29225a92855,0,1,1,0,20260718
zh_target_strict_cc_ff5e5a409587148e,1,1,0,1,20260718
