pair_uid,seller_uid_left,seller_uid_right
pair_000560,seller_000022,seller_000796
pair_000561,seller_000022,seller_000814
pair_000562,seller_000024,seller_000028
pair_000563,seller_000024,seller_000298
pair_000564,seller_000024,seller_000370
pair_000565,seller_000024,seller_000788
pair_000566,seller_000024,seller_000816
pair_000567,seller_000027,seller_000294
pair_000568,seller_000028,seller_000363
pair_000569,seller_000028,seller_000815
pair_000570,seller_000028,seller_000827
pair_000571,seller_000030,seller_000277
pair_000572,seller_000030,seller_000328
pair_000573,seller_000032,seller_000140
pair_000574,seller_000039,seller_000102
pair_000575,seller_000042,seller_000338
pair_000576,seller_000044,seller_000078
pair_000577,seller_000048,seller_000062
pair_000578,seller_000053,seller_000119
pair_000579,seller_000061,seller_000108
pair_000580,seller_000061,seller_000114
pair_000581,seller_000074,seller_000127
pair_000582,seller_000084,seller_000160
pair_000583,seller_000101,seller_000127
pair_000584,seller_000114,seller_000136
pair_000585,seller_000115,seller_000119
pair_000586,seller_000117,seller_000131
pair_000587,seller_000140,seller_000268
pair_000588,seller_000160,seller_000316
pair_000589,seller_000182,seller_000191
pair_000590,seller_000187,seller_000792
pair_000591,seller_000212,seller_000573
pair_000592,seller_000212,seller_000813
pair_000593,seller_000252,seller_000793
pair_000594,seller_000256,seller_000275
pair_000595,seller_000256,seller_000326
pair_000596,seller_000256,seller_000826
pair_000597,seller_000257,seller_000802
pair_000598,seller_000260,seller_000354
pair_000599,seller_000261,seller_000316
pair_000600,seller_000271,seller_000295
pair_000601,seller_000271,seller_000359
pair_000602,seller_000271,seller_000814
pair_000603,seller_000275,seller_000501
pair_000604,seller_000275,seller_000820
pair_000605,seller_000275,seller_000836
pair_000606,seller_000295,seller_000796
pair_000607,seller_000295,seller_000814
pair_000608,seller_000297,seller_000463
pair_000609,seller_000298,seller_000363
pair_000610,seller_000298,seller_000815
pair_000611,seller_000298,seller_000827
pair_000612,seller_000300,seller_000573
pair_000613,seller_000302,seller_000792
pair_000614,seller_000329,seller_000793
pair_000615,seller_000344,seller_000794
pair_000616,seller_000344,seller_000844
pair_000617,seller_000348,seller_000790
pair_000618,seller_000348,seller_000841
pair_000619,seller_000354,seller_000573
pair_000620,seller_000359,seller_000837
pair_000621,seller_000362,seller_000667
pair_000622,seller_000363,seller_000370
pair_000623,seller_000363,seller_000788
pair_000624,seller_000363,seller_000816
pair_000625,seller_000363,seller_000839
pair_000626,seller_000370,seller_000815
pair_000627,seller_000370,seller_000827
pair_000628,seller_000394,seller_000628
pair_000629,seller_000395,seller_000705
pair_000630,seller_000396,seller_000537
pair_000631,seller_000396,seller_000599
pair_000632,seller_000396,seller_000602
pair_000633,seller_000396,seller_000705
pair_000634,seller_000396,seller_000758
pair_000635,seller_000396,seller_000761
pair_000636,seller_000404,seller_000490
pair_000637,seller_000406,seller_000566
pair_000638,seller_000406,seller_000582
pair_000639,seller_000406,seller_000662
pair_000640,seller_000407,seller_000408
pair_000641,seller_000413,seller_000465
pair_000642,seller_000418,seller_000499
pair_000643,seller_000418,seller_000650
pair_000644,seller_000418,seller_000657
pair_000645,seller_000421,seller_000591
pair_000646,seller_000421,seller_000643
pair_000647,seller_000422,seller_000465
pair_000648,seller_000433,seller_000624
pair_000649,seller_000433,seller_000705
pair_000650,seller_000433,seller_000721
pair_000651,seller_000433,seller_000758
pair_000652,seller_000433,seller_000761
pair_000653,seller_000433,seller_000781
pair_000654,seller_000441,seller_000752
pair_000655,seller_000444,seller_000721
pair_000656,seller_000451,seller_000694
pair_000657,seller_000463,seller_000472
pair_000658,seller_000463,seller_000522
pair_000659,seller_000463,seller_000838
pair_000660,seller_000483,seller_000657
pair_000661,seller_000490,seller_000588
pair_000662,seller_000495,seller_000662
pair_000663,seller_000499,seller_000657
pair_000664,seller_000501,seller_000826
pair_000665,seller_000505,seller_000686
pair_000666,seller_000519,seller_000549
pair_000667,seller_000519,seller_000563
pair_000668,seller_000519,seller_000666
pair_000669,seller_000519,seller_000694
pair_000670,seller_000519,seller_000775
pair_000671,seller_000532,seller_000599
pair_000672,seller_000532,seller_000602
pair_000673,seller_000537,seller_000599
pair_000674,seller_000537,seller_000705
pair_000675,seller_000538,seller_000591
pair_000676,seller_000546,seller_000547
pair_000677,seller_000546,seller_000628
pair_000678,seller_000549,seller_000666
pair_000679,seller_000563,seller_000666
pair_000680,seller_000564,seller_000738
pair_000681,seller_000564,seller_000772
pair_000682,seller_000586,seller_000781
pair_000683,seller_000590,seller_000700
pair_000684,seller_000590,seller_000701
pair_000685,seller_000591,seller_000630
pair_000686,seller_000591,seller_000641
pair_000687,seller_000599,seller_000602
pair_000688,seller_000599,seller_000705
pair_000689,seller_000599,seller_000781
pair_000690,seller_000602,seller_000705
pair_000691,seller_000603,seller_000606
pair_000692,seller_000603,seller_000764
pair_000693,seller_000604,seller_000734
pair_000694,seller_000606,seller_000683
pair_000695,seller_000616,seller_000758
pair_000696,seller_000616,seller_000781
pair_000697,seller_000624,seller_000721
pair_000698,seller_000624,seller_000758
pair_000699,seller_000624,seller_000761
pair_000700,seller_000624,seller_000781
pair_000701,seller_000650,seller_000657
pair_000702,seller_000664,seller_000667
pair_000703,seller_000664,seller_000769
pair_000704,seller_000666,seller_000694
pair_000705,seller_000666,seller_000775
pair_000706,seller_000694,seller_000727
pair_000707,seller_000705,seller_000758
pair_000708,seller_000721,seller_000758
pair_000709,seller_000721,seller_000761
pair_000710,seller_000721,seller_000781
pair_000711,seller_000734,seller_000752
pair_000712,seller_000738,seller_000772
pair_000713,seller_000755,seller_000764
pair_000714,seller_000758,seller_000761
pair_000715,seller_000758,seller_000781
pair_000716,seller_000761,seller_000781
pair_000717,seller_000769,seller_000773
pair_000718,seller_000772,seller_000773
pair_000719,seller_000786,seller_000793
pair_000720,seller_000788,seller_000798
pair_000721,seller_000788,seller_000815
pair_000722,seller_000788,seller_000827
pair_000723,seller_000789,seller_000840
pair_000724,seller_000792,seller_000842
pair_000725,seller_000793,seller_000806
pair_000726,seller_000796,seller_000837
pair_000727,seller_000798,seller_000816
pair_000728,seller_000814,seller_000837
pair_000729,seller_000815,seller_000816
pair_000730,seller_000815,seller_000839
pair_000731,seller_000816,seller_000827
pair_000732,seller_000826,seller_000836
pair_000733,seller_000827,seller_000839
