balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes
11,semantic_structural,products_data.csv|__unknown__|seller_id:522821||products_data.csv|__unknown__|seller_id:523410,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.259798,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.893363,0.94981,T: 加拿大币圈coinbase用户信息 || 加拿大币圈coinbase用户信息 | D: ↓ 交易编号---43391-----大学生all电子信息工程实号慢检500条5美金 交易编号---45773-----币圈注册用户美国格鲁吉亚georgia8万条80美金 交易编号---44637-----加拿大华人华侨33万3万美金女性已经开通WHATSAPPok 交易编号---45176-----浙江省二建... | C: 虚拟物品,T: 新到黄金珠宝奢侈品女性宝妈富婆数据5万条数据 || 新到黄金珠宝奢侈品女性宝妈富婆数据5万条数据 | D: ↓ 交易编号---43391-----大学生all电子信息工程实号慢检500条5美金 交易编号---45773-----币圈注册用户美国格鲁吉亚georgia8万条80美金 交易编号---44637-----加拿大华人华侨33万3万美金女性已经开通WHATSAPPok 交易编号---45176-----浙江省二建... | C: 虚拟物品,pending,,,
12,semantic_only,products_data.csv|__unknown__|seller_id:1882373||products_data.csv|__unknown__|seller_id:1893440,sockpuppet_primary,medium,profile_lexical_neighbor,3.769002,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.482157,0.43803,"T: 忘掉密码的2个比特币钱包文件总金额共计32550枚BTC || 最全数据恢复软件合集 | D: 有的钱包金额大，最多的31000枚比特币，你如果能破解出来，里面的比特币就是你的，你就能成首富了,哈哈 我一共发布了12个商品，你可以查下，看你自己需求，每个商品包里都有多个钱包文件，组合不同，价格实惠，最低只要9.9 USDT，最高129 USDT | C: 虚拟物品 || 技术服务[非教程]",T: 229个比特币核心钱包文件有密码就可以提走 || 229个比特币核心钱包文件有密码就可以提走 | D: 229个比特币核心钱包文件，有密码就可以提走 拍下自动发货 | C: 虚拟物品,pending,,,
13,text_clone_primary,products_data.csv|__unknown__|seller_id:342919||products_data.csv|__unknown__|seller_id:75066,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,11.870758,alias_missing,true,__unknown__,__unknown__,,,,价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠,价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 基础理论初级催眠 11篇 手把手教实战 9篇 自我催眠 3篇 实例 5级催眠负性幻觉 手指变成手枪 实例 5级催眠负性幻觉 将人变成悟空 实例 6级催眠记忆回溯前世今生 催眠中级理论 2篇 催眠治疗讲解 4篇 催眠高级理论 6篇 高级实战催眠 2篇 瞬间催眠与心锚建立（精华中的精华） 6篇 ... || 价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 基础理论初级催眠 11篇 手把手教实战 9篇 自我催眠 3篇 实例 5级催眠负性幻觉 手指变成手枪 实例 5级催眠负性幻觉 将人变成悟空 实例 6级催眠记忆回溯前世今生 催眠中级理论 2篇 催眠治疗讲解 4篇 催眠高级理论 6篇 高级实战催眠 2篇 瞬间催眠与心锚建立（精华中的精华） 6篇 ...,教程与文档,,0.609926,0.605601,T: 价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 || 价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 | D: 《中国民间秘术》部分清单 “半夜鬼敲门” “屁王贴” “千杯不醉” “竹篮打水” “油锅取物” “方形鸡蛋” “日捉百鸟” “药功脱衣法” “药练轻功术” “神符显字” “美菜难咽法” “食物不见法” “蚊子不咬术” “收鸡不叫法” “呼鱼自来法” “厨师难受法” “手指点灯法” “千杯不醉法” “一杯醉倒法” ... | C: 技术服务[非教程] || 虚拟物品,T: 企业经营全套执照证件PS模板（营业执照、组织机构代码证、税务登记证、安全生产许可证、开户许可证、企业法人营业执照） || HACK 黑客新手综合书藉+破解技术 | D: 企业经营全套执照证件PS模板，可随意编辑填写 新版营业执照 正（副）本、 组织机构代码证、 税务登记证 正（副）本、 安全生产许可证 正（副）本、 开户许可证、 企业法人营业执照 正（副）本、 电子印章 全套文件为PS模板，打包1.06G，用途自己开发，购买者如作非法用途，自行承担法律风险和后果 | C: 教程与文档 || 实体发货商品,pending,,,
14,semantic_structural,products_data.csv|__unknown__|seller_id:522081||products_data.csv|__unknown__|seller_id:534025,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.174358,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.862428,0.999895,T: 更新币圈美国佛罗里达州迈阿密21万条 || 更新币圈美国佛罗里达州迈阿密21万条 | D: ↓ 交易编号---47646-----冰雪复古手游传奇游戏注册短信拦截1万条156美金 交易编号---44632-----新疆工商联商会40万条4万美金 交易编号---47466-----全国混合医院医生护士1万条155美金08 交易编号---44723-----美国华人华侨开通WhatsApp的2000条312... | C: 虚拟物品,T: 新到法国男性华人华侨7万条数据 || 新到法国男性华人华侨7万条数据 | D: ↓ 交易编号---47646-----冰雪复古手游传奇游戏注册短信拦截1万条156美金 交易编号---44632-----新疆工商联商会40万条4万美金 交易编号---47466-----全国混合医院医生护士1万条155美金08 交易编号---44723-----美国华人华侨开通WhatsApp的2000条312... | C: 虚拟物品,pending,,,
15,semantic_only,products_data.csv|__unknown__|seller_id:707139||products_data.csv|__unknown__|seller_id:707276,sockpuppet_primary,medium,profile_lexical_neighbor,3.127126,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.370605,0.451748,"T: 低价出网贷贷款逾期用户数据 || 香港HKstockacc证券股民数据2000条320美金2 | D: 香港HKstockacc证券股民数据2000条320美金2 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 技术服务[非教程] || 虚拟物品","T: 低价出马来西亚华人华侨数据 || 低价出马来西亚华人华侨数据 | D: ""低价出马来西亚华人华侨200条20美金 【本商品拍后MEGA网盘自动发货】,【商品底部图片下有下载的链接地址】 "" | C: 虚拟物品",pending,,,
16,text_clone_primary,products_data.csv|__unknown__|seller_id:506844||products_data.csv|__unknown__|seller_id:528850,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support,11.793484,alias_missing,true,__unknown__,__unknown__,,,,,质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 || 发货：拍下后请留下收货地址和联系方式，一般当天中午十二点前下单当天发，十二点过后下单隔天发 || 产品的售出不是我们的目的，持久的合作才是我们的宗旨,实体发货商品,,0.819613,0.937903,T: 自己实体工厂开银行卡四件套900RMB一套稳定 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 | C: 实体发货商品,T: 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 || 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租500每月 | C: 实体发货商品,pending,,,
17,semantic_structural,products_data.csv|__unknown__|seller_id:522821||products_data.csv|__unknown__|seller_id:524490,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.140204,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.931813,0.774663,T: 加拿大币圈coinbase用户信息 || 加拿大币圈coinbase用户信息 | D: ↓ 交易编号---43391-----大学生all电子信息工程实号慢检500条5美金 交易编号---45773-----币圈注册用户美国格鲁吉亚georgia8万条80美金 交易编号---44637-----加拿大华人华侨33万3万美金女性已经开通WHATSAPPok 交易编号---45176-----浙江省二建... | C: 虚拟物品,T: 更新的泰国华人华侨数据 || 更新的泰国华人华侨数据 | D: ↓ 交易编号---43391-----大学生all电子信息工程实号慢检500条5美金 交易编号---45773-----币圈注册用户美国格鲁吉亚georgia8万条80美金 交易编号---44637-----加拿大华人华侨33万3万美金女性已经开通WHATSAPPok 交易编号---45176-----浙江省二建... | C: 虚拟物品,pending,,,
18,semantic_only,products_data.csv|__unknown__|seller_id:520046||products_data.csv|__unknown__|seller_id:536282,sockpuppet_primary,medium,profile_lexical_neighbor,2.75022,alias_missing,true,__unknown__,__unknown__,,,,,,,,0.315291,0.429237,T: 香港身份证正反加手持身份证7套_自动发货 || 香港身份证正反加手持身份证7套_自动发货 | D: 香港SFZ正反_手持SFZ自动发货 已设置自动发货，拍下付款会自动发货 麻烦买家收到货后第一时间放款，谢谢 虚拟物品具有复制性，拍下后，概不退款~ 概不退款~ | C: 虚拟物品 || 教程与文档,"T: 低价出APP人脸识别工具 || 低价出APP人脸识别工具 | D: 发货方式为自动发货,显示MEGA下载链接，安全保密 | C: 技术服务[非教程]",pending,,,
19,text_clone_primary,products_data.csv|__unknown__|seller_id:319180||products_data.csv|__unknown__|seller_id:65684,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support,11.693988,alias_missing,true,__unknown__,__unknown__,,,,,第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加坑爹的58同城直接获取身份照片 第11课... || (1) 冷读术 (2) 现实世界的诱惑术 (3) 五步陷阱 (4) 杂耍人方法 (5) 吸引力原理 (6) 搭讪圣经 (7) 谜男方法 2.2018年最新黑客社会工程学视频教程 社会工程学在现实中随处可见，并且各领域对它的称呼各不相同， 从行走江湖的各路活神仙，老神棍，大师，到传销公司，到p2p金融骗子， 到现在各种自媒体的运营，以及巨头们的市场公关部... || 除了社会工程学这个名字以外，有人称它为话术，有人说这是厚黑，培训公司称之为沟通技巧，迷男们管这叫PUA,教程与文档,,0.867791,0.743621,T: 适用新手黑客，攻击原理及手法距离，黑客基础教程 || 适用新手黑客，攻击原理及手法距离，黑客基础教程 | D: 第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加... | C: 教程与文档,"T: 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图! || 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图! | D: 第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加... | C: 教程与文档",pending,,,
20,semantic_structural,products_data.csv|__unknown__|seller_id:562239||products_data.csv|__unknown__|seller_id:632995,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.134442,alias_missing,true,__unknown__,__unknown__,,,,,,虚拟物品,,0.856637,0.99731,"T: 澳大利亚金融客户数据未发的5100万条1000美金 || 澳大利亚金融客户数据未发的5100万条1000美金 | D: 澳大利亚金融客户数据未发的500万之1一100万条1000美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品","T: 澳大利亚金融客户未发的500万之3一100万条1000美金 || 澳大利亚金融客户未发的500万之3一100万条1000美金 | D: 澳大利亚金融客户数据未发的500万之3一100万条1000美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品",pending,,,
21,semantic_only,products_data.csv|__unknown__|seller_id:507092||products_data.csv|__unknown__|seller_id:659029,sockpuppet_primary,medium,profile_lexical_neighbor,2.688878,alias_missing,true,__unknown__,__unknown__,,,,,,常规服务与操作,,0.294931,0.459646,T: 银行一微信一支付宝一企业一查流水 || 侦探各类查询低价 | D: 一年价格（拍300份） 验证方法（提供转账时间）验证结果我告诉你金额 验证后确认放款发完整资料给您 个人银行（无视大中小银行）3个月-2年.姓名+银行卡号（价格3个月拍120份，一年拍250份） 企业银行（无视大中小银行）3个月-2年.企业名+银行卡号（价格请咨询） 微信账户流水3个月-2年提供（微信号）（原始i... | C: 常规服务与操作,T: 全网最低价侦探业务查人查档查所有 || 全网最低价侦探业务查人查档查所有 | D: 【个人基本信息类】 个人户籍-提供身份证号码-(拍3份) 全家户籍-提供身份证号码-(拍10份) 模糊查询-提供大概年龄+地区+名字(拍5份) 犯罪记录-提供身份证号码-(拍5份) 网逃记录-提供身份证号码-(拍5份) 名下资产-提供身份证号码-(拍10份) 开房同住记录-提供身份证号码-拍50份) 开房记录-提... | C: 常规服务与操作 || 技术服务[非教程],pending,,,
22,text_clone_primary,products_data.csv|__unknown__|seller_id:28409||products_data.csv|__unknown__|seller_id:697110,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|structural_support,11.030078,alias_missing,true,__unknown__,__unknown__,,,,,"一次性开不了这么多, 我确实也没办法 每天晚上过来收单. 上面写的很细, 直接下单即可",实体发货商品,,0.68582,0.957579,"T: 四件套出售或租用 || 四件套出售或租用 | D: 新推出功能 租用, 押人. 大量一类卡, 接资金. 起步资金 1000 定金, 拍10份, 过滤掉只询价不交易的客户, 时间不够用来不及. 高质量三件套, 3500 元, 拍 35份 质保三个月, 10万以下包赔付, 质保期限从快递单上发货日开始. 可加盾, 加1000元, 多拍10份 为什么加盾要多这么多 | C: 实体发货商品","T: 银行卡三件套 || 银行卡三件套 | D: (建议不用弄盾, 手机银行每天10万转账额度也足够了, 手机设备和交易所建议提前弄上,拿到手就能用,自己想怎么操作就可以立即操作, 否则还要再人脸识别什么的很麻烦) 微信人脸绑卡+500RMB拍5份 交易所注册人脸身份绑定+400RMB拍4份 手机设备: +800RMB 拍8份 (设备是提前让小弟把手机银行交易所... | C: 实体发货商品",pending,,,
