pair_uid,silver_score,label_tier,training_sample_weight,silver_positive_reasons,existing_review_label,seller_uid_left,seller_uid_right,shared_contact_count,shared_contact_values,shared_title_count,shared_description_count,lexical_similarity,structural_support_score,candidate_rank_score
market_item.xlsx|茶马古道|seller_raw:/shop/463004||market_item.xlsx|茶马古道|seller_raw:/shop/463446,61.15604,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/463004,market_item.xlsx|茶马古道|seller_raw:/shop/463446,0,,0,9,0.389122,0.442114,8.21896
market_item.xlsx|中文暗网交易市场|seller_raw:17318||market_item.xlsx|中文暗网交易市场|seller_raw:602704,60.803836,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:17318,market_item.xlsx|中文暗网交易市场|seller_raw:602704,0,,0,1,0.456239,0.855601,9.448636
market_item.xlsx|中文暗网交易市场|seller_raw:579776||market_item.xlsx|中文暗网交易市场|seller_raw:582222,58.717736,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:579776,market_item.xlsx|中文暗网交易市场|seller_raw:582222,0,,0,1,0.45845,0.787923,9.326546
market_item.xlsx|中文暗网交易市场|seller_raw:579292||market_item.xlsx|中文暗网交易市场|seller_raw:579776,58.37966,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:579292,market_item.xlsx|中文暗网交易市场|seller_raw:579776,0,,0,1,0.451755,0.78489,9.28031
market_item.xlsx|茶马古道|seller_raw:/shop/397155||market_item.xlsx|茶马古道|seller_raw:/shop/399798,58.004928,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|茶马古道|seller_raw:/shop/397155,market_item.xlsx|茶马古道|seller_raw:/shop/399798,0,,0,2,0.463816,0.634611,9.052118
market_item.xlsx|中文暗网交易市场|seller_raw:504187||market_item.xlsx|茶马古道|seller_raw:/shop/409287,55.991332,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:504187,market_item.xlsx|茶马古道|seller_raw:/shop/409287,0,,0,3,0.419193,0.496887,8.508932
market_item.xlsx|茶马古道|seller_raw:/shop/604||market_item.xlsx|茶马古道|seller_raw:/shop/605,55.785168,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/604,market_item.xlsx|茶马古道|seller_raw:/shop/605,0,,0,1,0.638988,0.493175,9.820278
market_item.xlsx|中文暗网交易市场|seller_raw:572772||market_item.xlsx|茶马古道|seller_raw:/shop/418022,55.388072,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:572772,market_item.xlsx|茶马古道|seller_raw:/shop/418022,0,,0,3,0.513754,0.371654,8.825832
market_item.xlsx|茶马古道|seller_raw:/shop/450368||market_item.xlsx|茶马古道|seller_raw:/shop/455309,55.191068,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|茶马古道|seller_raw:/shop/450368,market_item.xlsx|茶马古道|seller_raw:/shop/455309,0,,0,1,0.527215,0.600354,9.363998
market_item.xlsx|中文暗网交易市场|seller_raw:596053||market_item.xlsx|茶马古道|seller_raw:/shop/446567,54.553912,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:596053,market_item.xlsx|茶马古道|seller_raw:/shop/446567,0,,1,4,0.315046,0.287883,9.466042
market_item.xlsx|茶马古道|seller_raw:/shop/408157||market_item.xlsx|茶马古道|seller_raw:/shop/418373,54.070204,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|茶马古道|seller_raw:/shop/408157,market_item.xlsx|茶马古道|seller_raw:/shop/418373,0,,0,1,0.478119,0.62056,9.109834
market_item.xlsx|茶马古道|seller_raw:/shop/452928||market_item.xlsx|茶马古道|seller_raw:/shop/462496,53.974408,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/452928,market_item.xlsx|茶马古道|seller_raw:/shop/462496,0,,0,1,0.40833,0.696079,8.842138
market_item.xlsx|茶马古道|seller_raw:/shop/410971||market_item.xlsx|茶马古道|seller_raw:/shop/415228,53.919912,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/410971,market_item.xlsx|茶马古道|seller_raw:/shop/415228,0,,0,1,0.287722,0.83006,8.386452
market_item.xlsx|中文暗网交易市场|seller_raw:596099||market_item.xlsx|茶马古道|seller_raw:/shop/446585,53.704976,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:596099,market_item.xlsx|茶马古道|seller_raw:/shop/446585,0,,1,3,0.453236,0.23089,10.181196
market_item.xlsx|中文暗网交易市场|seller_raw:540849||market_item.xlsx|茶马古道|seller_raw:/shop/403983,53.411848,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:540849,market_item.xlsx|茶马古道|seller_raw:/shop/403983,0,,2,0,0.660122,0.363983,8.688698
market_item.xlsx|茶马古道|seller_raw:/shop/1681||market_item.xlsx|茶马古道|seller_raw:/shop/394537,53.32516,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/1681,market_item.xlsx|茶马古道|seller_raw:/shop/394537,0,,0,3,0.352842,0.488214,8.09348
market_item.xlsx|中文暗网交易市场|seller_raw:486448||market_item.xlsx|茶马古道|seller_raw:/shop/433371,53.179104,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:486448,market_item.xlsx|茶马古道|seller_raw:/shop/433371,0,,0,3,0.464752,0.357751,8.504014
market_item.xlsx|中文暗网交易市场|seller_raw:531087||market_item.xlsx|中文暗网交易市场|seller_raw:548133,53.017616,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:531087,market_item.xlsx|中文暗网交易市场|seller_raw:548133,0,,0,1,0.615556,0.43305,9.559436
market_item.xlsx|中文暗网交易市场|seller_raw:552826||market_item.xlsx|茶马古道|seller_raw:/shop/7184,52.33472,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:552826,market_item.xlsx|茶马古道|seller_raw:/shop/7184,0,,0,3,0.42584,0.37514,8.30532
market_item.xlsx|中文暗网交易市场|seller_raw:596065||market_item.xlsx|茶马古道|seller_raw:/shop/446588,52.00884,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed|silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:596065,market_item.xlsx|茶马古道|seller_raw:/shop/446588,0,,1,1,0.343442,0.301404,9.66346
market_item.xlsx|中文暗网交易市场|seller_raw:375149||market_item.xlsx|中文暗网交易市场|seller_raw:506844,51.586452,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:375149,market_item.xlsx|中文暗网交易市场|seller_raw:506844,0,,0,2,0.329725,0.584886,8.148122
market_item.xlsx|中文暗网交易市场|seller_raw:581690||market_item.xlsx|茶马古道|seller_raw:/shop/425704,51.499368,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:581690,market_item.xlsx|茶马古道|seller_raw:/shop/425704,0,,1,3,0.35613,0.271209,9.679198
market_item.xlsx|中文暗网交易市场|seller_raw:596066||market_item.xlsx|茶马古道|seller_raw:/shop/446567,51.362736,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:596066,market_item.xlsx|茶马古道|seller_raw:/shop/446567,0,,1,3,0.336972,0.288492,9.598816
market_item.xlsx|中文暗网交易市场|seller_raw:604725||market_item.xlsx|茶马古道|seller_raw:/shop/446567,50.160912,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:604725,market_item.xlsx|茶马古道|seller_raw:/shop/446567,0,,1,3,0.3113,0.279816,9.427432
market_item.xlsx|茶马古道|seller_raw:/shop/438230||market_item.xlsx|茶马古道|seller_raw:/shop/462496,50.100416,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/438230,market_item.xlsx|茶马古道|seller_raw:/shop/462496,0,,0,1,0.335176,0.657315,8.325686
market_item.xlsx|中文暗网交易市场|seller_raw:586540||market_item.xlsx|茶马古道|seller_raw:/shop/430522,48.979908,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:586540,market_item.xlsx|茶马古道|seller_raw:/shop/430522,0,,1,2,0.406681,0.260606,9.961298
market_item.xlsx|中文暗网交易市场|seller_raw:605009||market_item.xlsx|茶马古道|seller_raw:/shop/453275,48.966924,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:605009,market_item.xlsx|茶马古道|seller_raw:/shop/453275,0,,1,2,0.423603,0.241163,10.023944
market_item.xlsx|中文暗网交易市场|seller_raw:541874||market_item.xlsx|中文暗网交易市场|seller_raw:566277,48.80738,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:541874,market_item.xlsx|中文暗网交易市场|seller_raw:566277,0,,0,1,0.500653,0.430746,8.86541
market_item.xlsx|中文暗网交易市场|seller_raw:506844||market_item.xlsx|中文暗网交易市场|seller_raw:563186,48.765,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:506844,market_item.xlsx|中文暗网交易市场|seller_raw:563186,0,,0,1,0.361762,0.585674,8.34192
market_item.xlsx|中文暗网交易市场|seller_raw:517002||market_item.xlsx|茶马古道|seller_raw:/shop/397778,48.61366,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:517002,market_item.xlsx|茶马古道|seller_raw:/shop/397778,0,,1,2,0.392823,0.264751,9.88644
market_item.xlsx|茶马古道|seller_raw:/shop/405657||market_item.xlsx|茶马古道|seller_raw:/shop/412039,48.235272,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|茶马古道|seller_raw:/shop/405657,market_item.xlsx|茶马古道|seller_raw:/shop/412039,0,,0,1,0.365986,0.564368,8.324652
market_item.xlsx|茶马古道|seller_raw:/shop/408298||market_item.xlsx|茶马古道|seller_raw:/shop/441385,48.040072,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/408298,market_item.xlsx|茶马古道|seller_raw:/shop/441385,0,,0,1,0.462658,0.449512,8.674972
market_item.xlsx|中文暗网交易市场|seller_raw:199643||market_item.xlsx|中文暗网交易市场|seller_raw:46893,47.998928,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:199643,market_item.xlsx|中文暗网交易市场|seller_raw:46893,0,,0,1,0.302572,0.628323,8.072078
market_item.xlsx|中文暗网交易市场|seller_raw:640120||market_item.xlsx|茶马古道|seller_raw:/shop/422565,47.650724,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:640120,market_item.xlsx|茶马古道|seller_raw:/shop/422565,0,,0,1,0.410049,0.49653,8.453354
market_item.xlsx|中文暗网交易市场|seller_raw:490465||market_item.xlsx|茶马古道|seller_raw:/shop/432627,47.333676,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:490465,market_item.xlsx|茶马古道|seller_raw:/shop/432627,0,,0,1,0.407035,0.490013,8.422236
market_item.xlsx|中文暗网交易市场|seller_raw:603737||market_item.xlsx|茶马古道|seller_raw:/shop/453234,46.580768,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:603737,market_item.xlsx|茶马古道|seller_raw:/shop/453234,0,,1,2,0.31108,0.293184,9.452848
market_item.xlsx|中文暗网交易市场|seller_raw:596313||market_item.xlsx|茶马古道|seller_raw:/shop/453234,46.494428,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:596313,market_item.xlsx|茶马古道|seller_raw:/shop/453234,0,,1,2,0.310207,0.291468,9.444178
market_item.xlsx|中文暗网交易市场|seller_raw:438392||market_item.xlsx|茶马古道|seller_raw:/shop/2072,46.235808,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:438392,market_item.xlsx|茶马古道|seller_raw:/shop/2072,0,,0,1,0.508872,0.341138,8.735508
market_item.xlsx|中文暗网交易市场|seller_raw:606040||market_item.xlsx|茶马古道|seller_raw:/shop/446585,46.113344,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:606040,market_item.xlsx|茶马古道|seller_raw:/shop/446585,0,,1,2,0.320312,0.268191,9.458254
market_item.xlsx|茶马古道|seller_raw:/shop/411022||market_item.xlsx|茶马古道|seller_raw:/shop/412484,46.103832,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/411022,market_item.xlsx|茶马古道|seller_raw:/shop/412484,0,,0,1,0.397366,0.462458,8.309112
market_item.xlsx|中文暗网交易市场|seller_raw:528850||market_item.xlsx|中文暗网交易市场|seller_raw:563186,46.103464,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:528850,market_item.xlsx|中文暗网交易市场|seller_raw:563186,0,,0,1,0.31953,0.550012,8.017204
market_item.xlsx|中文暗网交易市场|seller_raw:605664||market_item.xlsx|茶马古道|seller_raw:/shop/446567,45.665776,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,uncertain,market_item.xlsx|中文暗网交易市场|seller_raw:605664,market_item.xlsx|茶马古道|seller_raw:/shop/446567,0,,1,2,0.292844,0.285106,9.327276
market_item.xlsx|茶马古道|seller_raw:/shop/419283||market_item.xlsx|茶马古道|seller_raw:/shop/423017,45.314212,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/419283,market_item.xlsx|茶马古道|seller_raw:/shop/423017,0,,0,1,0.467137,0.35929,8.521402
market_item.xlsx|茶马古道|seller_raw:/shop/404047||market_item.xlsx|茶马古道|seller_raw:/shop/52,44.898156,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/404047,market_item.xlsx|茶马古道|seller_raw:/shop/52,0,,1,1,0.401347,0.264052,9.936186
market_item.xlsx|中文暗网交易市场|seller_raw:526744||market_item.xlsx|茶马古道|seller_raw:/shop/397675,44.772048,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:526744,market_item.xlsx|茶马古道|seller_raw:/shop/397675,0,,1,1,0.399748,0.26191,9.922308
market_item.xlsx|中文暗网交易市场|seller_raw:590389||market_item.xlsx|茶马古道|seller_raw:/shop/411784,43.133352,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:590389,market_item.xlsx|茶马古道|seller_raw:/shop/411784,0,,1,1,0.349018,0.267772,9.629652
market_item.xlsx|中文暗网交易市场|seller_raw:604722||market_item.xlsx|茶马古道|seller_raw:/shop/446566,43.069184,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:604722,market_item.xlsx|茶马古道|seller_raw:/shop/446566,0,,1,1,0.33084,0.286217,9.557474
market_item.xlsx|中文暗网交易市场|seller_raw:605480||market_item.xlsx|茶马古道|seller_raw:/shop/446566,42.717248,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:605480,market_item.xlsx|茶马古道|seller_raw:/shop/446566,0,,1,1,0.317944,0.289727,9.487118
market_item.xlsx|茶马古道|seller_raw:/shop/10006||market_item.xlsx|茶马古道|seller_raw:/shop/9110,42.700972,silver_rank_structural_relaxed,0.18,silver_rank_structural_relaxed,,market_item.xlsx|茶马古道|seller_raw:/shop/10006,market_item.xlsx|茶马古道|seller_raw:/shop/9110,0,,0,1,0.416387,0.33472,8.167762
market_item.xlsx|中文暗网交易市场|seller_raw:605605||market_item.xlsx|茶马古道|seller_raw:/shop/453275,42.376936,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:605605,market_item.xlsx|茶马古道|seller_raw:/shop/453275,0,,1,1,0.305762,0.292797,9.420166
market_item.xlsx|中文暗网交易市场|seller_raw:605877||market_item.xlsx|茶马古道|seller_raw:/shop/446566,41.834524,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:605877,market_item.xlsx|茶马古道|seller_raw:/shop/446566,0,,1,1,0.297559,0.285075,9.355504
market_item.xlsx|中文暗网交易市场|seller_raw:546723||market_item.xlsx|茶马古道|seller_raw:/shop/399807,40.909996,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:546723,market_item.xlsx|茶马古道|seller_raw:/shop/399807,0,,1,1,0.287667,0.267312,9.260626
market_item.xlsx|中文暗网交易市场|seller_raw:527013||market_item.xlsx|茶马古道|seller_raw:/shop/397778,40.854552,silver_template_structural_relaxed,0.2,silver_template_structural_relaxed,,market_item.xlsx|中文暗网交易市场|seller_raw:527013,market_item.xlsx|茶马古道|seller_raw:/shop/397778,0,,1,1,0.284862,0.268735,9.246642
