pair_uid,review_label,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,step15_pool,split_name,synthetic_train_only,usable_for_supervision,usable_for_core_transfer,core_transfer_eligible,training_sample_weight,mixup_parent_left_pair_uid,mixup_parent_right_pair_uid,mixup_parent_left_pool,mixup_parent_right_pool,mixup_parent_left_evidence_type,mixup_parent_right_evidence_type,mixup_parent_left_training_sample_weight,mixup_parent_right_training_sample_weight,mixup_lambda_right
synthetic_positive_mixup::0,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:USADRUGLORD||market_item.xlsx|agartha market|seller_raw:willson99,market_item.xlsx|Lime|seller_raw:Cityshop||market_item.xlsx|agartha market|seller_raw:chrisstore24,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.40146165
synthetic_positive_mixup::19,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Cartel|seller_raw:theword1||market_item.xlsx|dark0de|seller_raw:mensguru,market_item.xlsx|darkfox market|seller_raw:ROCKO||market_item.xlsx|vice city|seller_raw:Rugrats,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.26007226
synthetic_positive_mixup::20,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|中文暗网交易市场|seller_raw:39516||market_item.xlsx|中文暗网交易市场|seller_raw:64954,market_item.xlsx|中文暗网交易市场|seller_raw:443620||market_item.xlsx|茶马古道|seller_raw:/shop/824,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.97457531
synthetic_positive_mixup::21,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Jamesrox||market_item.xlsx|agartha market|seller_raw:Walgreens,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.00273485
synthetic_positive_mixup::22,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Legitsales||market_item.xlsx|agartha market|seller_raw:kaiserplug,market_item.xlsx|agartha market|seller_raw:dozy1992||market_item.xlsx|agartha market|seller_raw:kaiserplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.9036905
synthetic_positive_mixup::23,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:636288||market_item.xlsx|中文暗网交易市场|seller_raw:636666,market_item.xlsx|中文暗网交易市场|seller_raw:361285||market_item.xlsx|中文暗网交易市场|seller_raw:502030,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.08136968
synthetic_positive_mixup::24,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|silk road 3.1|seller_raw:OREIA||market_item.xlsx|silk road 3.1|seller_raw:oreiaa,market_item.xlsx|darkfox market|seller_raw:live4drugs||market_item.xlsx|tor2door market|seller_raw:Darkdrugs,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.60407942
synthetic_positive_mixup::25,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:USADruglord||market_item.xlsx|agartha market|seller_raw:medicalfarmer,market_item.xlsx|silk road 3.1|seller_raw:Danielrinehart||market_item.xlsx|silk road 3.1|seller_raw:dubypride,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.96155004
synthetic_positive_mixup::26,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:WEEDKING01||market_item.xlsx|agartha market|seller_raw:truu00,market_item.xlsx|agartha market|seller_raw:CannaCare||market_item.xlsx|agartha market|seller_raw:tonyplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.32811754
synthetic_positive_mixup::27,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:private||market_item.xlsx|agartha market|seller_raw:tonyplug,market_item.xlsx|agartha market|seller_raw:ProGlobalSam||market_item.xlsx|agartha market|seller_raw:vendor_men,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.02010229
synthetic_positive_mixup::28,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:GehLegit||market_item.xlsx|agartha market|seller_raw:legitsupply,market_item.xlsx|silk road 3.1|seller_raw:maryjohanna||market_item.xlsx|silk road 3.1|seller_raw:welcuredrugs,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.03698146
synthetic_positive_mixup::29,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:ketplug||market_item.xlsx|agartha market|seller_raw:Lordpharma,market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:tonyplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.00050686
synthetic_positive_mixup::30,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|silk road 3.1|seller_raw:Danielrinehart||market_item.xlsx|silk road 3.1|seller_raw:dubypride,market_item.xlsx|agartha market|seller_raw:USADruglord||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.83673121
synthetic_positive_mixup::31,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|incognito|seller_raw:/vendor/jamesocean||market_item.xlsx|vice city|seller_raw:Jamesocean,market_item.xlsx|apollon market|seller_raw:AMSTERDAM-TRANSPORT (100%)||market_item.xlsx|apollon market|seller_raw:HollandOnline (95%),en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.07124432
synthetic_positive_mixup::32,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:596304,market_item.xlsx|中文暗网交易市场|seller_raw:501102||market_item.xlsx|中文暗网交易市场|seller_raw:596304,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.99940756
synthetic_positive_mixup::33,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:95895,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:70840,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.66507518
synthetic_positive_mixup::34,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|apollon market|seller_raw:HotShop (100%)||market_item.xlsx|dark0de|seller_raw:hotshop100,market_item.xlsx|dark0de|seller_raw:gmailz||market_item.xlsx|vice city|seller_raw:Gmail,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.9101146
synthetic_positive_mixup::35,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:chrisstore24,market_item.xlsx|agartha market|seller_raw:bluesstore||market_item.xlsx|agartha market|seller_raw:dozy1992,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.8674282
synthetic_positive_mixup::36,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:32635||market_item.xlsx|中文暗网交易市场|seller_raw:81020,market_item.xlsx|中文暗网交易市场|seller_raw:149940||market_item.xlsx|中文暗网交易市场|seller_raw:157835,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.66352326
synthetic_positive_mixup::37,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:501102,market_item.xlsx|中文暗网交易市场|seller_raw:45068||market_item.xlsx|中文暗网交易市场|seller_raw:70840,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.00967205
synthetic_positive_mixup::38,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:312538||market_item.xlsx|中文暗网交易市场|seller_raw:606446,market_item.xlsx|中文暗网交易市场|seller_raw:433599||market_item.xlsx|中文暗网交易市场|seller_raw:435064,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.99905992
synthetic_positive_mixup::39,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:312538||market_item.xlsx|中文暗网交易市场|seller_raw:436422,market_item.xlsx|中文暗网交易市场|seller_raw:534628||market_item.xlsx|中文暗网交易市场|seller_raw:562478,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.94160852
synthetic_positive_mixup::40,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:68679,market_item.xlsx|中文暗网交易市场|seller_raw:43871||market_item.xlsx|中文暗网交易市场|seller_raw:46626,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.95176978
synthetic_positive_mixup::41,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:GehLegit||market_item.xlsx|agartha market|seller_raw:legitsupply,market_item.xlsx|agartha market|seller_raw:USADruglord||market_item.xlsx|agartha market|seller_raw:medicalfarmer,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.14595881
synthetic_positive_mixup::42,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:ProGlobalSam||market_item.xlsx|agartha market|seller_raw:dozy1992,market_item.xlsx|agartha market|seller_raw:PHARMAHOUSE||market_item.xlsx|agartha market|seller_raw:fortunemaker,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.70472092
synthetic_positive_mixup::43,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:537697,market_item.xlsx|中文暗网交易市场|seller_raw:157835||market_item.xlsx|中文暗网交易市场|seller_raw:435064,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.07318856
synthetic_positive_mixup::44,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|darkfox market|seller_raw:live4drugs||market_item.xlsx|tor2door market|seller_raw:Darkdrugs,market_item.xlsx|darkfox market|seller_raw:originalgermed||market_item.xlsx|versus market|seller_raw:OriginalGerMeds,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.98550909
synthetic_positive_mixup::45,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:kaiserplug,market_item.xlsx|Lime|seller_raw:zulvinapills||market_item.xlsx|agartha market|seller_raw:legitsupply,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.10138665
synthetic_positive_mixup::46,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:Ortegameds,market_item.xlsx|agartha market|seller_raw:Damason||market_item.xlsx|agartha market|seller_raw:caliscoties,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.91124723
synthetic_positive_mixup::47,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:45068,market_item.xlsx|中文暗网交易市场|seller_raw:45068||market_item.xlsx|中文暗网交易市场|seller_raw:70840,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.55116323
synthetic_positive_mixup::48,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|vice city|seller_raw:Crazysupplies||market_item.xlsx|vice city|seller_raw:Rudeman,market_item.xlsx|silk road 3.1|seller_raw:maryjohanna||market_item.xlsx|silk road 3.1|seller_raw:welcuredrugs,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.9953934
synthetic_positive_mixup::49,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:Legithustle420||market_item.xlsx|agartha market|seller_raw:ProGlobalSam,market_item.xlsx|Lime|seller_raw:ketplug||market_item.xlsx|agartha market|seller_raw:Lordpharma,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.99774167
synthetic_positive_mixup::50,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:45068,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:501102,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.97951184
synthetic_positive_mixup::51,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|apollon market|seller_raw:Drugsterminator (91%)||market_item.xlsx|apollon market|seller_raw:Partydrug-NL (100%),market_item.xlsx|silk road 3.1|seller_raw:L0RDXANAX||market_item.xlsx|silk road 3.1|seller_raw:RealLordXanax,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.99822829
synthetic_positive_mixup::52,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|Lime|seller_raw:Lordpharma||market_item.xlsx|agartha market|seller_raw:chrisstore24,market_item.xlsx|Lime|seller_raw:michaeldean||market_item.xlsx|agartha market|seller_raw:makershop,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.99960954
synthetic_positive_mixup::53,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|silk road 3.1|seller_raw:OREIA||market_item.xlsx|silk road 3.1|seller_raw:oreiaa,market_item.xlsx|darkfox market|seller_raw:live4drugs||market_item.xlsx|tor2door market|seller_raw:Darkdrugs,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.79198272
synthetic_positive_mixup::54,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|apollon market|seller_raw:ProfessorsEmporium (100%)||market_item.xlsx|apollon market|seller_raw:PsylocybeFanaticus (100%),market_item.xlsx|cannazon market|seller_raw:EiffelCartel||market_item.xlsx|dark0de|seller_raw:frenchycaneloni,en_content_train_pool,en_content_train_pool,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.61633508
synthetic_positive_mixup::55,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:312538||market_item.xlsx|中文暗网交易市场|seller_raw:436422,market_item.xlsx|中文暗网交易市场|seller_raw:534628||market_item.xlsx|中文暗网交易市场|seller_raw:562478,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.23322804
synthetic_positive_mixup::56,positive,same_controller,synthetic_train_only,0,1,en_content_train_pool,train,1,1,1,1,1.0,market_item.xlsx|agartha market|seller_raw:Walgreens||market_item.xlsx|agartha market|seller_raw:kaiserplug,market_item.xlsx|agartha market|seller_raw:CannaCare||market_item.xlsx|agartha market|seller_raw:kaiserplug,en_content_train_pool,en_content_train_pool,same_controller_direct_identifier,same_controller_direct_identifier,1.0,1.0,0.22647536
synthetic_positive_mixup::57,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,1.0,market_item.xlsx|中文暗网交易市场|seller_raw:39516||market_item.xlsx|中文暗网交易市场|seller_raw:64954,market_item.xlsx|中文暗网交易市场|seller_raw:17352||market_item.xlsx|中文暗网交易市场|seller_raw:34364,zh_target_strict,zh_target_strict,same_controller_style_structural_soft,same_controller_style_structural_soft,1.0,1.0,0.00809294
synthetic_positive_mixup::58,positive,same_controller,synthetic_train_only,0,1,zh_target_strict,train,1,1,1,1,0.55,market_item.xlsx|中文暗网交易市场|seller_raw:465763||market_item.xlsx|中文暗网交易市场|seller_raw:596304,market_item.xlsx|中文暗网交易市场|seller_raw:465763||market_item.xlsx|中文暗网交易市场|seller_raw:537697,zh_target_strict,zh_target_strict,same_controller_direct_identifier,same_controller_direct_identifier,0.55,0.55,0.00927361
