pair_uid,data_bucket,candidate_language,split_name,split_component_id,review_label,review_stratum,usable_for_supervision,usable_for_core_transfer,candidate_rule_hits,shared_contact_count,shared_pgp_fingerprint_count,shared_title_count,shared_description_count,embedding_cosine_multilingual_e5_large,embedding_cosine_bge_m3,embedding_cosine_labse,structural_support_score_raw,source_seller_raw_left,source_seller_raw_right,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,has_direct_identifier_signal,has_template_clone_signal,has_semantic_topic_signal,has_public_contact_or_url_noise_signal,evidence_type_reasons
market_item.xlsx|中文暗网交易市场|seller_raw:564088||market_item.xlsx|茶马古道|seller_raw:/shop/9636,zh_target_strict,zh,test,comp_00106,positive,identifier_plus_text,1,1,,,,,,0.929413,0.940289,0.947749,0.275666,564088,/shop/9636,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:595944||market_item.xlsx|茶马古道|seller_raw:/shop/439854,zh_target_strict,zh,valid,comp_00116,positive,text_clone_primary,1,1,,,,,,0.964561,0.965074,0.939949,0.417318,595944,/shop/439854,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/446222||market_item.xlsx|茶马古道|seller_raw:/shop/455192,zh_target_strict,zh,train,silver_train_comp_00029,positive,semantic_structural,1,1,,,,,,0.983012,0.988706,0.993749,0.995906,/shop/446222,/shop/455192,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/444530||market_item.xlsx|茶马古道|seller_raw:/shop/461246,zh_target_strict,zh,test,comp_00208,positive,identifier_primary,1,1,,,,,,0.94153,0.921187,0.9194,0.701186,/shop/444530,/shop/461246,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:536419||market_item.xlsx|茶马古道|seller_raw:/shop/462274,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.941084,0.926215,0.985497,0.497685,536419,/shop/462274,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|茶马古道|seller_raw:/shop/402037||market_item.xlsx|茶马古道|seller_raw:/shop/6332,zh_target_strict,zh,test,comp_00152,positive,identifier_plus_text,1,1,,,,,,0.962933,0.939224,0.965159,0.339512,/shop/402037,/shop/6332,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|茶马古道|seller_raw:/shop/397616||market_item.xlsx|茶马古道|seller_raw:/shop/398592,zh_target_strict,zh,valid,comp_00146,positive,text_clone_primary,1,1,,,,,,0.962517,0.962387,0.956139,0.688281,/shop/397616,/shop/398592,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/429595||market_item.xlsx|茶马古道|seller_raw:/shop/431498,zh_target_strict,zh,train,silver_train_comp_00031,positive,semantic_structural,1,1,,,,,,0.972461,0.97134,0.961257,0.98474,/shop/429595,/shop/431498,same_controller,same_controller_style_structural_soft,1,1,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/428039||market_item.xlsx|茶马古道|seller_raw:/shop/436689,zh_target_strict,zh,test,comp_00149,positive,identifier_primary,1,1,,,,,,0.958749,0.908388,0.925507,0.428174,/shop/428039,/shop/436689,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:606193||market_item.xlsx|茶马古道|seller_raw:/shop/461572,zh_target_strict,zh,valid,comp_00118,negative,semantic_only,1,1,,,,,,0.938731,0.912036,0.989956,0.494444,606193,/shop/461572,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|茶马古道|seller_raw:/shop/410559||market_item.xlsx|茶马古道|seller_raw:/shop/413373,zh_target_strict,zh,test,comp_00161,positive,identifier_plus_text,1,1,,,,,,0.967823,0.968513,0.973193,0.627667,/shop/410559,/shop/413373,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:573258||market_item.xlsx|茶马古道|seller_raw:/shop/455140,zh_target_strict,zh,valid,comp_00108,positive,text_clone_primary,1,1,,,,,,0.918496,0.896491,0.934833,0.437685,573258,/shop/455140,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:31252||market_item.xlsx|中文暗网交易市场|seller_raw:99610,zh_target_strict,zh,train,comp_00001,negative,semantic_structural,1,1,,,,,,0.975399,0.96569,0.941628,0.778668,31252,99610,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|茶马古道|seller_raw:/shop/440109||market_item.xlsx|茶马古道|seller_raw:/shop/458500,zh_target_strict,zh,test,comp_00202,positive,identifier_primary,1,1,,,,,,0.942664,0.868422,0.935185,0.921584,/shop/440109,/shop/458500,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:573301||market_item.xlsx|茶马古道|seller_raw:/shop/418341,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.95726,0.957203,0.972756,0.311618,573301,/shop/418341,uncertain,uncertain_insufficient_evidence,0,0,0,0,1,0,uncertain_or_not_supervision_label
market_item.xlsx|茶马古道|seller_raw:/shop/444654||market_item.xlsx|茶马古道|seller_raw:/shop/459141,zh_target_strict,zh,valid,comp_00115,positive,identifier_plus_text,1,1,,,,,,0.985185,0.971707,0.963119,0.992089,/shop/444654,/shop/459141,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:538752||market_item.xlsx|茶马古道|seller_raw:/shop/397934,zh_target_strict,zh,valid,comp_00096,positive,text_clone_primary,1,1,,,,,,0.950178,0.939308,0.963706,0.387534,538752,/shop/397934,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:31252||market_item.xlsx|中文暗网交易市场|seller_raw:38978,zh_target_strict,zh,train,comp_00001,negative,semantic_structural,1,1,,,,,,0.949134,0.931739,0.921557,0.717513,31252,38978,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|中文暗网交易市场|seller_raw:636666||market_item.xlsx|中文暗网交易市场|seller_raw:65706,zh_target_strict,zh,train,silver_train_comp_00055,positive,identifier_primary,1,1,,,,,,0.903515,0.833805,0.896639,0.736519,636666,65706,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|茶马古道|seller_raw:/shop/445167||market_item.xlsx|茶马古道|seller_raw:/shop/461416,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.961091,0.910711,0.975067,0.381643,/shop/445167,/shop/461416,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|中文暗网交易市场|seller_raw:610888||market_item.xlsx|茶马古道|seller_raw:/shop/439789,zh_target_strict,zh,valid,comp_00122,positive,identifier_plus_text,1,1,,,,,,0.930132,0.876207,0.933696,0.330082,610888,/shop/439789,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:547630||market_item.xlsx|茶马古道|seller_raw:/shop/402218,zh_target_strict,zh,valid,comp_00098,positive,text_clone_primary,1,1,,,,,,0.963812,0.948421,0.969778,0.30295,547630,/shop/402218,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/435341||market_item.xlsx|茶马古道|seller_raw:/shop/456282,zh_target_strict,zh,train,silver_train_comp_00051,positive,semantic_structural,1,1,,,,,,0.977598,0.987202,0.97776,0.761661,/shop/435341,/shop/456282,same_controller,same_controller_style_structural_soft,1,1,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/442661||market_item.xlsx|茶马古道|seller_raw:/shop/462498,zh_target_strict,zh,valid,comp_00115,positive,identifier_primary,1,1,,,,,,0.906481,0.820851,0.79244,0.709256,/shop/442661,/shop/462498,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:24172||market_item.xlsx|茶马古道|seller_raw:/shop/436862,zh_target_strict,zh,train,comp_00001,negative,semantic_only,1,1,,,,,,0.874271,0.837464,0.896057,0.462502,24172,/shop/436862,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|茶马古道|seller_raw:/shop/452097||market_item.xlsx|茶马古道|seller_raw:/shop/452596,zh_target_strict,zh,test,comp_00214,positive,identifier_plus_text,1,1,,,,,,0.92957,0.884437,0.965368,0.72346,/shop/452097,/shop/452596,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:342919||market_item.xlsx|茶马古道|seller_raw:/shop/398325,zh_target_strict,zh,test,comp_00042,positive,text_clone_primary,1,1,,,,,,0.961235,0.909714,0.958742,0.405393,342919,/shop/398325,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:401772||market_item.xlsx|中文暗网交易市场|seller_raw:485545,zh_target_strict,zh,train,comp_00054,positive,semantic_structural,1,1,,,,,,0.989364,0.993982,0.99133,0.99929,401772,485545,same_controller,same_controller_style_structural_soft,1,1,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/457836||market_item.xlsx|茶马古道|seller_raw:/shop/458601,zh_target_strict,zh,test,comp_00217,positive,identifier_primary,1,1,,,,,,0.920629,0.851175,0.899155,0.532768,/shop/457836,/shop/458601,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:605004||market_item.xlsx|茶马古道|seller_raw:/shop/461572,zh_target_strict,zh,valid,comp_00118,negative,semantic_only,1,1,,,,,,0.935296,0.902598,0.974655,0.369444,605004,/shop/461572,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|中文暗网交易市场|seller_raw:564091||market_item.xlsx|茶马古道|seller_raw:/shop/9484,zh_target_strict,zh,test,comp_00107,positive,identifier_plus_text,1,1,,,,,,0.916659,0.930573,0.913787,0.304013,564091,/shop/9484,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:533307||market_item.xlsx|茶马古道|seller_raw:/shop/10063,zh_target_strict,zh,valid,comp_00092,positive,text_clone_primary,1,1,,,,,,0.931114,0.870477,0.959907,0.431612,533307,/shop/10063,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/421||market_item.xlsx|茶马古道|seller_raw:/shop/827,zh_target_strict,zh,train,silver_train_comp_00061,positive,semantic_structural,1,1,,,,,,0.990189,0.990967,0.980211,0.766108,/shop/421,/shop/827,same_controller,same_controller_style_structural_soft,1,1,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/409272||market_item.xlsx|茶马古道|seller_raw:/shop/9838,zh_target_strict,zh,valid,comp_00145,negative,identifier_primary,1,1,,,,,,0.904047,0.796792,0.815827,0.499423,/shop/409272,/shop/9838,different_controller,public_contact_or_url_noise,1,1,1,0,0,1,contact_like:feature_has_shared_contact_exact|contact_like:feature_shared_contact_count|contact_like:review_stratum:identifier|negative_label_with_contact_like_overlap
market_item.xlsx|中文暗网交易市场|seller_raw:639133||market_item.xlsx|茶马古道|seller_raw:/shop/451739,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.945646,0.908285,0.948907,0.282614,639133,/shop/451739,uncertain,uncertain_insufficient_evidence,0,0,0,1,1,0,uncertain_or_not_supervision_label
market_item.xlsx|中文暗网交易市场|seller_raw:564091||market_item.xlsx|茶马古道|seller_raw:/shop/3501,zh_target_strict,zh,test,comp_00107,positive,identifier_plus_text,1,1,,,,,,0.891923,0.82681,0.815349,0.227242,564091,/shop/3501,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:635957||market_item.xlsx|茶马古道|seller_raw:/shop/6409,zh_target_strict,zh,valid,comp_00125,positive,text_clone_primary,1,1,,,,,,0.938437,0.948889,0.983536,0.480128,635957,/shop/6409,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:210589||market_item.xlsx|中文暗网交易市场|seller_raw:511033,zh_target_strict,zh,train,comp_00001,negative,semantic_structural,1,1,,,,,,0.950282,0.894957,0.93535,0.732955,210589,511033,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|茶马古道|seller_raw:/shop/445108||market_item.xlsx|茶马古道|seller_raw:/shop/448185,zh_target_strict,zh,test,comp_00210,positive,identifier_primary,1,1,,,,,,0.912449,0.823558,0.893081,0.455225,/shop/445108,/shop/448185,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:553937||market_item.xlsx|茶马古道|seller_raw:/shop/405733,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.933471,0.919969,0.948586,0.491768,553937,/shop/405733,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|茶马古道|seller_raw:/shop/3501||market_item.xlsx|茶马古道|seller_raw:/shop/9484,zh_target_strict,zh,test,comp_00107,positive,identifier_plus_text,1,1,,,,,,0.91969,0.84677,0.831985,0.57907,/shop/3501,/shop/9484,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:604051||market_item.xlsx|中文暗网交易市场|seller_raw:99981,zh_target_strict,zh,valid,comp_00120,positive,text_clone_primary,1,1,,,,,,0.995249,0.991766,0.996517,0.999829,604051,99981,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:511033||market_item.xlsx|中文暗网交易市场|seller_raw:58949,zh_target_strict,zh,train,comp_00001,negative,semantic_structural,1,1,,,,,,0.941436,0.906039,0.910298,0.711268,511033,58949,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|茶马古道|seller_raw:/shop/396538||market_item.xlsx|茶马古道|seller_raw:/shop/409272,zh_target_strict,zh,valid,comp_00145,negative,identifier_primary,1,1,,,,,,0.916135,0.867396,0.814905,0.37745,/shop/396538,/shop/409272,different_controller,public_contact_or_url_noise,1,1,1,0,0,1,contact_like:feature_has_shared_contact_exact|contact_like:feature_shared_contact_count|contact_like:review_stratum:identifier|negative_label_with_contact_like_overlap|review_notes_public_or_non_seller_keyword
market_item.xlsx|中文暗网交易市场|seller_raw:605180||market_item.xlsx|茶马古道|seller_raw:/shop/461572,zh_target_strict,zh,valid,comp_00118,negative,semantic_only,1,1,,,,,,0.934252,0.89133,0.972311,0.369443,605180,/shop/461572,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|中文暗网交易市场|seller_raw:347899||market_item.xlsx|茶马古道|seller_raw:/shop/6242,zh_target_strict,zh,train,silver_train_comp_00020,positive,identifier_plus_text,1,1,,,,,,0.90746,0.840394,0.910883,0.236598,347899,/shop/6242,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:542584||market_item.xlsx|茶马古道|seller_raw:/shop/399905,zh_target_strict,zh,train,silver_train_comp_00007,positive,text_clone_primary,1,1,,,,,,0.940763,0.916961,0.957287,0.450342,542584,/shop/399905,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/467049||market_item.xlsx|茶马古道|seller_raw:/shop/469683,zh_target_strict,zh,train,silver_train_comp_00047,positive,semantic_structural,1,1,,,,,,0.962123,0.964974,0.965639,0.992499,/shop/467049,/shop/469683,same_controller,same_controller_style_structural_soft,1,1,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/430880||market_item.xlsx|茶马古道|seller_raw:/shop/439807,zh_target_strict,zh,test,comp_00192,positive,identifier_primary,1,1,,,,,,0.901569,0.810095,0.882127,0.340797,/shop/430880,/shop/439807,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:24304||market_item.xlsx|茶马古道|seller_raw:/shop/442,zh_target_strict,zh,test,comp_00016,negative,semantic_only,1,1,,,,,,0.904575,0.864262,0.897698,0.465333,24304,/shop/442,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|中文暗网交易市场|seller_raw:595229||market_item.xlsx|茶马古道|seller_raw:/shop/9636,zh_target_strict,zh,test,comp_00106,positive,identifier_plus_text,1,1,,,,,,0.922922,0.868639,0.829056,0.439768,595229,/shop/9636,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|中文暗网交易市场|seller_raw:591348||market_item.xlsx|茶马古道|seller_raw:/shop/433218,zh_target_strict,zh,valid,comp_00112,positive,text_clone_primary,1,1,,,,,,0.974916,0.974773,0.993269,0.500005,591348,/shop/433218,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/7580||market_item.xlsx|茶马古道|seller_raw:/shop/8223,zh_target_strict,zh,train,silver_train_comp_00053,positive,semantic_structural,1,1,,,,,,0.958259,0.934338,0.953408,0.974868,/shop/7580,/shop/8223,same_controller,same_controller_style_structural_soft,1,1,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/421728||market_item.xlsx|茶马古道|seller_raw:/shop/434089,zh_target_strict,zh,test,comp_00178,positive,identifier_primary,1,1,,,,,,0.906907,0.830254,0.908607,0.280987,/shop/421728,/shop/434089,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|茶马古道|seller_raw:/shop/408914||market_item.xlsx|茶马古道|seller_raw:/shop/425485,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.945099,0.914502,0.917617,0.302532,/shop/408914,/shop/425485,uncertain,uncertain_insufficient_evidence,0,0,0,0,1,0,uncertain_or_not_supervision_label
market_item.xlsx|茶马古道|seller_raw:/shop/463317||market_item.xlsx|茶马古道|seller_raw:/shop/463398,zh_target_strict,zh,test,comp_00220,positive,text_clone_primary,1,1,,,,,,0.985307,0.997862,0.995446,0.5,/shop/463317,/shop/463398,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|茶马古道|seller_raw:/shop/444654||market_item.xlsx|茶马古道|seller_raw:/shop/462498,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_structural,0,0,,,,,,0.983622,0.987095,0.989048,0.748342,/shop/444654,/shop/462498,uncertain,uncertain_insufficient_evidence,0,0,0,1,0,0,uncertain_or_not_supervision_label
market_item.xlsx|茶马古道|seller_raw:/shop/396538||market_item.xlsx|茶马古道|seller_raw:/shop/9838,zh_target_strict,zh,valid,comp_00145,negative,identifier_primary,1,1,,,,,,0.931018,0.855214,0.810126,0.274487,/shop/396538,/shop/9838,different_controller,public_contact_or_url_noise,1,1,1,0,1,1,contact_like:feature_has_shared_contact_exact|contact_like:feature_shared_contact_count|contact_like:review_stratum:identifier|negative_label_with_contact_like_overlap|review_notes_public_or_non_seller_keyword
market_item.xlsx|中文暗网交易市场|seller_raw:593068||market_item.xlsx|茶马古道|seller_raw:/shop/462494,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.938378,0.943126,0.967883,0.492729,593068,/shop/462494,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|中文暗网交易市场|seller_raw:598691||market_item.xlsx|茶马古道|seller_raw:/shop/455140,zh_target_strict,zh,valid,comp_00108,positive,text_clone_primary,1,1,,,,,,0.936962,0.921952,0.966378,0.417483,598691,/shop/455140,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|中文暗网交易市场|seller_raw:24172||market_item.xlsx|中文暗网交易市场|seller_raw:74774,zh_target_strict,zh,train,comp_00001,negative,semantic_structural,1,1,,,,,,0.936079,0.898399,0.909535,0.80625,24172,74774,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|茶马古道|seller_raw:/shop/403842||market_item.xlsx|茶马古道|seller_raw:/shop/433482,zh_target_strict,zh,train,silver_train_comp_00128,positive,identifier_primary,1,1,,,,,,0.858274,0.745265,0.815853,0.238669,/shop/403842,/shop/433482,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|茶马古道|seller_raw:/shop/437447||market_item.xlsx|茶马古道|seller_raw:/shop/467356,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.931849,0.925329,0.882208,0.394975,/shop/437447,/shop/467356,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|中文暗网交易市场|seller_raw:46626||market_item.xlsx|中文暗网交易市场|seller_raw:68679,zh_target_strict,zh,train,comp_00061,negative,semantic_structural,1,1,,,,,,0.957005,0.923852,0.927826,0.84167,46626,68679,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|茶马古道|seller_raw:/shop/441220||market_item.xlsx|茶马古道|seller_raw:/shop/7796,zh_target_strict,zh,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.92159,0.890523,0.94925,0.402807,/shop/441220,/shop/7796,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
