pair_uid,seller_uid_left,seller_uid_right,review_label,split_name,split_component_id,synthetic_class,synthetic_train_only,benchmark_eligible,usable_for_supervision,usable_for_core_transfer,training_sample_weight
synthetic://step22/v1/positive/p00035/left||synthetic://step22/v1/positive/p00035/right,synthetic://step22/v1/positive/p00035/left,synthetic://step22/v1/positive/p00035/right,positive,train,step22_unlabeled_seller_8a61eb6ad6bf22017fe5,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00036/left||synthetic://step22/v1/positive/p00036/right,synthetic://step22/v1/positive/p00036/left,synthetic://step22/v1/positive/p00036/right,positive,train,step22_unlabeled_seller_fecd03ae7f9927e093fa,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00037/left||synthetic://step22/v1/positive/p00037/right,synthetic://step22/v1/positive/p00037/left,synthetic://step22/v1/positive/p00037/right,positive,train,zh_target_strict_cc_75bf62566023d013,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00038/left||synthetic://step22/v1/positive/p00038/right,synthetic://step22/v1/positive/p00038/left,synthetic://step22/v1/positive/p00038/right,positive,train,step22_unlabeled_seller_bfa034a6938f03a920e5,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00039/left||synthetic://step22/v1/positive/p00039/right,synthetic://step22/v1/positive/p00039/left,synthetic://step22/v1/positive/p00039/right,positive,train,step22_unlabeled_seller_a814dd800f6af775298c,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00040/left||synthetic://step22/v1/positive/p00040/right,synthetic://step22/v1/positive/p00040/left,synthetic://step22/v1/positive/p00040/right,positive,train,step22_unlabeled_seller_51180486c6851a0b632c,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00041/left||synthetic://step22/v1/positive/p00041/right,synthetic://step22/v1/positive/p00041/left,synthetic://step22/v1/positive/p00041/right,positive,train,step22_unlabeled_seller_f5cf200820fb7364f1f6,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00042/left||synthetic://step22/v1/positive/p00042/right,synthetic://step22/v1/positive/p00042/left,synthetic://step22/v1/positive/p00042/right,positive,train,step22_unlabeled_seller_6db30e86478c8c5a4c95,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00043/left||synthetic://step22/v1/positive/p00043/right,synthetic://step22/v1/positive/p00043/left,synthetic://step22/v1/positive/p00043/right,positive,train,zh_target_strict_cc_7da9eb6e659ef940,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00044/left||synthetic://step22/v1/positive/p00044/right,synthetic://step22/v1/positive/p00044/left,synthetic://step22/v1/positive/p00044/right,positive,train,step22_unlabeled_seller_54d6f0628fb5c54dce4a,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00045/left||synthetic://step22/v1/positive/p00045/right,synthetic://step22/v1/positive/p00045/left,synthetic://step22/v1/positive/p00045/right,positive,train,step22_unlabeled_seller_467635525f3881fab2bf,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00046/left||synthetic://step22/v1/positive/p00046/right,synthetic://step22/v1/positive/p00046/left,synthetic://step22/v1/positive/p00046/right,positive,train,step22_unlabeled_seller_e722e71f7ea534053c2d,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00047/left||synthetic://step22/v1/positive/p00047/right,synthetic://step22/v1/positive/p00047/left,synthetic://step22/v1/positive/p00047/right,positive,train,step22_unlabeled_seller_eeb10859dee46b9d0062,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00048/left||synthetic://step22/v1/positive/p00048/right,synthetic://step22/v1/positive/p00048/left,synthetic://step22/v1/positive/p00048/right,positive,train,step22_unlabeled_seller_8e6815b4236778f61466,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00049/left||synthetic://step22/v1/positive/p00049/right,synthetic://step22/v1/positive/p00049/left,synthetic://step22/v1/positive/p00049/right,positive,train,step22_unlabeled_seller_2981c3655ae5ffd50adf,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00050/left||synthetic://step22/v1/positive/p00050/right,synthetic://step22/v1/positive/p00050/left,synthetic://step22/v1/positive/p00050/right,positive,train,step22_unlabeled_seller_074fbaa5b891f4e5a0e0,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00051/left||synthetic://step22/v1/positive/p00051/right,synthetic://step22/v1/positive/p00051/left,synthetic://step22/v1/positive/p00051/right,positive,train,step22_unlabeled_seller_97ad6ad75c67a9683dec,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00052/left||synthetic://step22/v1/positive/p00052/right,synthetic://step22/v1/positive/p00052/left,synthetic://step22/v1/positive/p00052/right,positive,train,step22_unlabeled_seller_1b6d9c9ad38f0b323114,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00053/left||synthetic://step22/v1/positive/p00053/right,synthetic://step22/v1/positive/p00053/left,synthetic://step22/v1/positive/p00053/right,positive,train,step22_unlabeled_seller_066b7351eeb21d873bab,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00054/left||synthetic://step22/v1/positive/p00054/right,synthetic://step22/v1/positive/p00054/left,synthetic://step22/v1/positive/p00054/right,positive,train,zh_target_strict_cc_0b2fd1034506436d,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00055/left||synthetic://step22/v1/positive/p00055/right,synthetic://step22/v1/positive/p00055/left,synthetic://step22/v1/positive/p00055/right,positive,train,step22_unlabeled_seller_6862e673eff936ea2d48,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00056/left||synthetic://step22/v1/positive/p00056/right,synthetic://step22/v1/positive/p00056/left,synthetic://step22/v1/positive/p00056/right,positive,train,step22_unlabeled_seller_3eb0710c2fc20b7b0620,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00057/left||synthetic://step22/v1/positive/p00057/right,synthetic://step22/v1/positive/p00057/left,synthetic://step22/v1/positive/p00057/right,positive,train,zh_target_strict_cc_121ca4c8ff35556e,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00058/left||synthetic://step22/v1/positive/p00058/right,synthetic://step22/v1/positive/p00058/left,synthetic://step22/v1/positive/p00058/right,positive,train,step22_unlabeled_seller_ae68d65ccd8c4911c26c,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00059/left||synthetic://step22/v1/positive/p00059/right,synthetic://step22/v1/positive/p00059/left,synthetic://step22/v1/positive/p00059/right,positive,train,step22_unlabeled_seller_194997f7e400d850ed5d,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00060/left||synthetic://step22/v1/positive/p00060/right,synthetic://step22/v1/positive/p00060/left,synthetic://step22/v1/positive/p00060/right,positive,train,zh_target_strict_cc_bdbbd819a13285cb,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00061/left||synthetic://step22/v1/positive/p00061/right,synthetic://step22/v1/positive/p00061/left,synthetic://step22/v1/positive/p00061/right,positive,train,step22_unlabeled_seller_1a9d502cf94be8d5d1c8,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00062/left||synthetic://step22/v1/positive/p00062/right,synthetic://step22/v1/positive/p00062/left,synthetic://step22/v1/positive/p00062/right,positive,train,step22_unlabeled_seller_205c78cdc542a08d9f32,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00063/left||synthetic://step22/v1/positive/p00063/right,synthetic://step22/v1/positive/p00063/left,synthetic://step22/v1/positive/p00063/right,positive,train,step22_unlabeled_seller_dfb6a9f23092914515e2,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00064/left||synthetic://step22/v1/positive/p00064/right,synthetic://step22/v1/positive/p00064/left,synthetic://step22/v1/positive/p00064/right,positive,train,step22_unlabeled_seller_9402170cd87c19ea70e8,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00065/left||synthetic://step22/v1/positive/p00065/right,synthetic://step22/v1/positive/p00065/left,synthetic://step22/v1/positive/p00065/right,positive,train,step22_unlabeled_seller_750f5700ade72afbc3eb,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00066/left||synthetic://step22/v1/positive/p00066/right,synthetic://step22/v1/positive/p00066/left,synthetic://step22/v1/positive/p00066/right,positive,train,step22_unlabeled_seller_a4ac7afaf5ed42cfa394,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00067/left||synthetic://step22/v1/positive/p00067/right,synthetic://step22/v1/positive/p00067/left,synthetic://step22/v1/positive/p00067/right,positive,train,step22_unlabeled_seller_81ff5ae354b676d5dfe4,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00068/left||synthetic://step22/v1/positive/p00068/right,synthetic://step22/v1/positive/p00068/left,synthetic://step22/v1/positive/p00068/right,positive,train,step22_unlabeled_seller_add85633bcb67d6957d6,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00069/left||synthetic://step22/v1/positive/p00069/right,synthetic://step22/v1/positive/p00069/left,synthetic://step22/v1/positive/p00069/right,positive,train,step22_unlabeled_seller_040af6caed578f6b6889,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00070/left||synthetic://step22/v1/positive/p00070/right,synthetic://step22/v1/positive/p00070/left,synthetic://step22/v1/positive/p00070/right,positive,train,step22_unlabeled_seller_a3778cdbb72d2c832f01,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00071/left||synthetic://step22/v1/positive/p00071/right,synthetic://step22/v1/positive/p00071/left,synthetic://step22/v1/positive/p00071/right,positive,train,step22_unlabeled_seller_200ded71c505cc5f1267,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00072/left||synthetic://step22/v1/positive/p00072/right,synthetic://step22/v1/positive/p00072/left,synthetic://step22/v1/positive/p00072/right,positive,train,zh_target_strict_cc_edff0c321d85e39a,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00073/left||synthetic://step22/v1/positive/p00073/right,synthetic://step22/v1/positive/p00073/left,synthetic://step22/v1/positive/p00073/right,positive,train,zh_target_strict_cc_3ea8308794671330,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00074/left||synthetic://step22/v1/positive/p00074/right,synthetic://step22/v1/positive/p00074/left,synthetic://step22/v1/positive/p00074/right,positive,train,step22_unlabeled_seller_88f866af38877a9b9bce,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00075/left||synthetic://step22/v1/positive/p00075/right,synthetic://step22/v1/positive/p00075/left,synthetic://step22/v1/positive/p00075/right,positive,train,step22_unlabeled_seller_aaf75f2a5353a20d98b4,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00076/left||synthetic://step22/v1/positive/p00076/right,synthetic://step22/v1/positive/p00076/left,synthetic://step22/v1/positive/p00076/right,positive,train,step22_unlabeled_seller_e72f548731ee00c6fc2c,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00077/left||synthetic://step22/v1/positive/p00077/right,synthetic://step22/v1/positive/p00077/left,synthetic://step22/v1/positive/p00077/right,positive,train,step22_unlabeled_seller_1574fa274025959ea059,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00078/left||synthetic://step22/v1/positive/p00078/right,synthetic://step22/v1/positive/p00078/left,synthetic://step22/v1/positive/p00078/right,positive,train,step22_unlabeled_seller_09f0282425c7d17b04cf,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00079/left||synthetic://step22/v1/positive/p00079/right,synthetic://step22/v1/positive/p00079/left,synthetic://step22/v1/positive/p00079/right,positive,train,step22_unlabeled_seller_ff3eb74ef60da61e7e6b,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00080/left||synthetic://step22/v1/positive/p00080/right,synthetic://step22/v1/positive/p00080/left,synthetic://step22/v1/positive/p00080/right,positive,train,zh_target_strict_cc_1234aba824302a63,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00081/left||synthetic://step22/v1/positive/p00081/right,synthetic://step22/v1/positive/p00081/left,synthetic://step22/v1/positive/p00081/right,positive,train,step22_unlabeled_seller_f1c0a9ab7714afd522b5,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00082/left||synthetic://step22/v1/positive/p00082/right,synthetic://step22/v1/positive/p00082/left,synthetic://step22/v1/positive/p00082/right,positive,train,step22_unlabeled_seller_d116ebee1c1414394699,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00083/left||synthetic://step22/v1/positive/p00083/right,synthetic://step22/v1/positive/p00083/left,synthetic://step22/v1/positive/p00083/right,positive,train,step22_unlabeled_seller_99bd36f96667d86db5f3,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00084/left||synthetic://step22/v1/positive/p00084/right,synthetic://step22/v1/positive/p00084/left,synthetic://step22/v1/positive/p00084/right,positive,train,step22_unlabeled_seller_ce0c01222ac76c5b579c,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00085/left||synthetic://step22/v1/positive/p00085/right,synthetic://step22/v1/positive/p00085/left,synthetic://step22/v1/positive/p00085/right,positive,train,zh_target_strict_cc_52e8a0292a9fd43e,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00086/left||synthetic://step22/v1/positive/p00086/right,synthetic://step22/v1/positive/p00086/left,synthetic://step22/v1/positive/p00086/right,positive,train,step22_unlabeled_seller_b5f7c58ab7e44768f99e,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00087/left||synthetic://step22/v1/positive/p00087/right,synthetic://step22/v1/positive/p00087/left,synthetic://step22/v1/positive/p00087/right,positive,train,zh_target_strict_cc_3b05f980bd46ca48,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00088/left||synthetic://step22/v1/positive/p00088/right,synthetic://step22/v1/positive/p00088/left,synthetic://step22/v1/positive/p00088/right,positive,train,step22_unlabeled_seller_021af06e20e90681cc53,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00089/left||synthetic://step22/v1/positive/p00089/right,synthetic://step22/v1/positive/p00089/left,synthetic://step22/v1/positive/p00089/right,positive,train,step22_unlabeled_seller_be3c9ed8ab2dba8f5a52,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00090/left||synthetic://step22/v1/positive/p00090/right,synthetic://step22/v1/positive/p00090/left,synthetic://step22/v1/positive/p00090/right,positive,train,zh_target_strict_cc_2e5c7caaf65dd8e0,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00091/left||synthetic://step22/v1/positive/p00091/right,synthetic://step22/v1/positive/p00091/left,synthetic://step22/v1/positive/p00091/right,positive,train,zh_target_strict_cc_91bfa095c1c39ade,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00092/left||synthetic://step22/v1/positive/p00092/right,synthetic://step22/v1/positive/p00092/left,synthetic://step22/v1/positive/p00092/right,positive,train,step22_unlabeled_seller_42f85ba0ecb92018a6f7,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00093/left||synthetic://step22/v1/positive/p00093/right,synthetic://step22/v1/positive/p00093/left,synthetic://step22/v1/positive/p00093/right,positive,train,step22_unlabeled_seller_85ade97471d12359403e,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00094/left||synthetic://step22/v1/positive/p00094/right,synthetic://step22/v1/positive/p00094/left,synthetic://step22/v1/positive/p00094/right,positive,train,step22_unlabeled_seller_e640330291fa39ed50dd,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00095/left||synthetic://step22/v1/positive/p00095/right,synthetic://step22/v1/positive/p00095/left,synthetic://step22/v1/positive/p00095/right,positive,train,zh_target_strict_cc_c16a6406195c4f1c,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00096/left||synthetic://step22/v1/positive/p00096/right,synthetic://step22/v1/positive/p00096/left,synthetic://step22/v1/positive/p00096/right,positive,train,zh_target_strict_cc_2e5c7caaf65dd8e0,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00097/left||synthetic://step22/v1/positive/p00097/right,synthetic://step22/v1/positive/p00097/left,synthetic://step22/v1/positive/p00097/right,positive,train,step22_unlabeled_seller_deb76325bc7fe3918d8d,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00098/left||synthetic://step22/v1/positive/p00098/right,synthetic://step22/v1/positive/p00098/left,synthetic://step22/v1/positive/p00098/right,positive,train,step22_unlabeled_seller_9617fd0a9e36c86142e4,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00099/left||synthetic://step22/v1/positive/p00099/right,synthetic://step22/v1/positive/p00099/left,synthetic://step22/v1/positive/p00099/right,positive,train,step22_unlabeled_seller_6dbaddea45ffa408b075,same_seller_split_positive,1,0,1,0,1.000000000000
synthetic://step22/v1/positive/p00100/left||synthetic://step22/v1/positive/p00100/right,synthetic://step22/v1/positive/p00100/left,synthetic://step22/v1/positive/p00100/right,positive,train,step22_unlabeled_seller_f06bdbf47023c027c18f,same_seller_split_positive,1,0,1,0,1.000000000000
