synthetic_pair_uid,synthetic_class,source_parent_seller_uid_left,source_parent_seller_uid_right,source_parent_pair_uid,parent_component_id,parent_evidence_type,independent_source_unit,real_cross_account_sockpuppet_relation,synthetic_train_only,benchmark_eligible,left_item_count,right_item_count
synthetic://step22/v1/positive/p00018/left||synthetic://step22/v1/positive/p00018/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/455004,market_item.xlsx|茶马古道|seller_raw:/shop/455004,,step22_unlabeled_seller_2f994d621ea66d9e85ca,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/455004,0,1,0,3,4
synthetic://step22/v1/positive/p00019/left||synthetic://step22/v1/positive/p00019/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:504296,market_item.xlsx|中文暗网交易市场|seller_raw:504296,,step22_unlabeled_seller_6856a6fc1c23dbc983bb,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:504296,0,1,0,5,4
synthetic://step22/v1/positive/p00020/left||synthetic://step22/v1/positive/p00020/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/397778,market_item.xlsx|茶马古道|seller_raw:/shop/397778,,zh_target_strict_cc_1ace3a6450507803,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/397778,0,1,0,3,3
synthetic://step22/v1/positive/p00021/left||synthetic://step22/v1/positive/p00021/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/442741,market_item.xlsx|茶马古道|seller_raw:/shop/442741,,step22_unlabeled_seller_d6fe981d55420d3393b4,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/442741,0,1,0,3,3
synthetic://step22/v1/positive/p00022/left||synthetic://step22/v1/positive/p00022/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/433602,market_item.xlsx|茶马古道|seller_raw:/shop/433602,,step22_unlabeled_seller_a18faef46e830ddcba8a,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/433602,0,1,0,4,3
synthetic://step22/v1/positive/p00023/left||synthetic://step22/v1/positive/p00023/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:548730,market_item.xlsx|中文暗网交易市场|seller_raw:548730,,step22_unlabeled_seller_0b0fdd66ab7ed9e25e20,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:548730,0,1,0,4,4
synthetic://step22/v1/positive/p00024/left||synthetic://step22/v1/positive/p00024/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/439597,market_item.xlsx|茶马古道|seller_raw:/shop/439597,,step22_unlabeled_seller_6b8a7414da7581162946,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/439597,0,1,0,6,6
synthetic://step22/v1/positive/p00025/left||synthetic://step22/v1/positive/p00025/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/445830,market_item.xlsx|茶马古道|seller_raw:/shop/445830,,step22_unlabeled_seller_d64f5a8bb947f39b178e,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/445830,0,1,0,3,3
synthetic://step22/v1/positive/p00026/left||synthetic://step22/v1/positive/p00026/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:549479,market_item.xlsx|中文暗网交易市场|seller_raw:549479,,step22_unlabeled_seller_c0a16cd2bcfaa75936f5,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:549479,0,1,0,7,5
synthetic://step22/v1/positive/p00027/left||synthetic://step22/v1/positive/p00027/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/436333,market_item.xlsx|茶马古道|seller_raw:/shop/436333,,step22_unlabeled_seller_549a2e1116442b606767,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/436333,0,1,0,4,8
synthetic://step22/v1/positive/p00028/left||synthetic://step22/v1/positive/p00028/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:323302,market_item.xlsx|中文暗网交易市场|seller_raw:323302,,step22_unlabeled_seller_2faa1a76a5bd9a9349fa,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:323302,0,1,0,4,4
synthetic://step22/v1/positive/p00029/left||synthetic://step22/v1/positive/p00029/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:560483,market_item.xlsx|中文暗网交易市场|seller_raw:560483,,step22_unlabeled_seller_b0e70f7f136dab158180,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:560483,0,1,0,5,4
synthetic://step22/v1/positive/p00030/left||synthetic://step22/v1/positive/p00030/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/409684,market_item.xlsx|茶马古道|seller_raw:/shop/409684,,step22_unlabeled_seller_c88f183795b96c95c82b,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/409684,0,1,0,5,3
synthetic://step22/v1/positive/p00031/left||synthetic://step22/v1/positive/p00031/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/4694,market_item.xlsx|茶马古道|seller_raw:/shop/4694,,zh_target_strict_cc_e60bd09ea06f8cc8,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/4694,0,1,0,6,6
synthetic://step22/v1/positive/p00032/left||synthetic://step22/v1/positive/p00032/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:361285,market_item.xlsx|中文暗网交易市场|seller_raw:361285,,zh_target_strict_cc_f65cdcbf3ab490cb,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:361285,0,1,0,6,6
synthetic://step22/v1/positive/p00033/left||synthetic://step22/v1/positive/p00033/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/420830,market_item.xlsx|茶马古道|seller_raw:/shop/420830,,step22_unlabeled_seller_818d171283782b6bef73,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/420830,0,1,0,5,4
synthetic://step22/v1/positive/p00034/left||synthetic://step22/v1/positive/p00034/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/5851,market_item.xlsx|茶马古道|seller_raw:/shop/5851,,step22_unlabeled_seller_818beaece64b98495be1,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/5851,0,1,0,3,3
synthetic://step22/v1/positive/p00035/left||synthetic://step22/v1/positive/p00035/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:59299,market_item.xlsx|中文暗网交易市场|seller_raw:59299,,step22_unlabeled_seller_8a61eb6ad6bf22017fe5,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:59299,0,1,0,3,3
synthetic://step22/v1/positive/p00036/left||synthetic://step22/v1/positive/p00036/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/415250,market_item.xlsx|茶马古道|seller_raw:/shop/415250,,step22_unlabeled_seller_fecd03ae7f9927e093fa,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/415250,0,1,0,8,4
synthetic://step22/v1/positive/p00037/left||synthetic://step22/v1/positive/p00037/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:492600,market_item.xlsx|中文暗网交易市场|seller_raw:492600,,zh_target_strict_cc_75bf62566023d013,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:492600,0,1,0,3,3
synthetic://step22/v1/positive/p00038/left||synthetic://step22/v1/positive/p00038/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:94761,market_item.xlsx|中文暗网交易市场|seller_raw:94761,,step22_unlabeled_seller_bfa034a6938f03a920e5,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:94761,0,1,0,4,4
synthetic://step22/v1/positive/p00039/left||synthetic://step22/v1/positive/p00039/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:58696,market_item.xlsx|中文暗网交易市场|seller_raw:58696,,step22_unlabeled_seller_a814dd800f6af775298c,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:58696,0,1,0,3,4
synthetic://step22/v1/positive/p00040/left||synthetic://step22/v1/positive/p00040/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:520046,market_item.xlsx|中文暗网交易市场|seller_raw:520046,,step22_unlabeled_seller_51180486c6851a0b632c,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:520046,0,1,0,5,5
synthetic://step22/v1/positive/p00041/left||synthetic://step22/v1/positive/p00041/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:633666,market_item.xlsx|中文暗网交易市场|seller_raw:633666,,step22_unlabeled_seller_f5cf200820fb7364f1f6,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:633666,0,1,0,5,6
synthetic://step22/v1/positive/p00042/left||synthetic://step22/v1/positive/p00042/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:489127,market_item.xlsx|中文暗网交易市场|seller_raw:489127,,step22_unlabeled_seller_6db30e86478c8c5a4c95,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:489127,0,1,0,3,3
synthetic://step22/v1/positive/p00043/left||synthetic://step22/v1/positive/p00043/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:542584,market_item.xlsx|中文暗网交易市场|seller_raw:542584,,zh_target_strict_cc_7da9eb6e659ef940,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:542584,0,1,0,6,6
synthetic://step22/v1/positive/p00044/left||synthetic://step22/v1/positive/p00044/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:45943,market_item.xlsx|中文暗网交易市场|seller_raw:45943,,step22_unlabeled_seller_54d6f0628fb5c54dce4a,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:45943,0,1,0,4,3
synthetic://step22/v1/positive/p00045/left||synthetic://step22/v1/positive/p00045/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:19449,market_item.xlsx|中文暗网交易市场|seller_raw:19449,,step22_unlabeled_seller_467635525f3881fab2bf,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:19449,0,1,0,4,3
synthetic://step22/v1/positive/p00046/left||synthetic://step22/v1/positive/p00046/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:538463,market_item.xlsx|中文暗网交易市场|seller_raw:538463,,step22_unlabeled_seller_e722e71f7ea534053c2d,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:538463,0,1,0,3,4
synthetic://step22/v1/positive/p00047/left||synthetic://step22/v1/positive/p00047/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/400066,market_item.xlsx|茶马古道|seller_raw:/shop/400066,,step22_unlabeled_seller_eeb10859dee46b9d0062,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/400066,0,1,0,5,3
synthetic://step22/v1/positive/p00048/left||synthetic://step22/v1/positive/p00048/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:6364,market_item.xlsx|中文暗网交易市场|seller_raw:6364,,step22_unlabeled_seller_8e6815b4236778f61466,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:6364,0,1,0,6,6
synthetic://step22/v1/positive/p00049/left||synthetic://step22/v1/positive/p00049/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:80366,market_item.xlsx|中文暗网交易市场|seller_raw:80366,,step22_unlabeled_seller_2981c3655ae5ffd50adf,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:80366,0,1,0,6,6
synthetic://step22/v1/positive/p00050/left||synthetic://step22/v1/positive/p00050/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/464537,market_item.xlsx|茶马古道|seller_raw:/shop/464537,,step22_unlabeled_seller_074fbaa5b891f4e5a0e0,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/464537,0,1,0,4,4
synthetic://step22/v1/positive/p00051/left||synthetic://step22/v1/positive/p00051/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:562789,market_item.xlsx|中文暗网交易市场|seller_raw:562789,,step22_unlabeled_seller_97ad6ad75c67a9683dec,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:562789,0,1,0,4,3
synthetic://step22/v1/positive/p00052/left||synthetic://step22/v1/positive/p00052/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/419850,market_item.xlsx|茶马古道|seller_raw:/shop/419850,,step22_unlabeled_seller_1b6d9c9ad38f0b323114,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/419850,0,1,0,7,5
synthetic://step22/v1/positive/p00053/left||synthetic://step22/v1/positive/p00053/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/427252,market_item.xlsx|茶马古道|seller_raw:/shop/427252,,step22_unlabeled_seller_066b7351eeb21d873bab,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/427252,0,1,0,5,9
synthetic://step22/v1/positive/p00054/left||synthetic://step22/v1/positive/p00054/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/431366,market_item.xlsx|茶马古道|seller_raw:/shop/431366,,zh_target_strict_cc_0b2fd1034506436d,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/431366,0,1,0,6,6
synthetic://step22/v1/positive/p00055/left||synthetic://step22/v1/positive/p00055/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:22071,market_item.xlsx|中文暗网交易市场|seller_raw:22071,,step22_unlabeled_seller_6862e673eff936ea2d48,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:22071,0,1,0,4,4
synthetic://step22/v1/positive/p00056/left||synthetic://step22/v1/positive/p00056/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:44083,market_item.xlsx|中文暗网交易市场|seller_raw:44083,,step22_unlabeled_seller_3eb0710c2fc20b7b0620,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:44083,0,1,0,4,4
synthetic://step22/v1/positive/p00057/left||synthetic://step22/v1/positive/p00057/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/438230,market_item.xlsx|茶马古道|seller_raw:/shop/438230,,zh_target_strict_cc_121ca4c8ff35556e,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/438230,0,1,0,5,5
synthetic://step22/v1/positive/p00058/left||synthetic://step22/v1/positive/p00058/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/425316,market_item.xlsx|茶马古道|seller_raw:/shop/425316,,step22_unlabeled_seller_ae68d65ccd8c4911c26c,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/425316,0,1,0,6,8
synthetic://step22/v1/positive/p00059/left||synthetic://step22/v1/positive/p00059/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/413541,market_item.xlsx|茶马古道|seller_raw:/shop/413541,,step22_unlabeled_seller_194997f7e400d850ed5d,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/413541,0,1,0,7,6
synthetic://step22/v1/positive/p00060/left||synthetic://step22/v1/positive/p00060/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:205354,market_item.xlsx|中文暗网交易市场|seller_raw:205354,,zh_target_strict_cc_bdbbd819a13285cb,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:205354,0,1,0,4,4
synthetic://step22/v1/positive/p00061/left||synthetic://step22/v1/positive/p00061/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:51346,market_item.xlsx|中文暗网交易市场|seller_raw:51346,,step22_unlabeled_seller_1a9d502cf94be8d5d1c8,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:51346,0,1,0,6,6
synthetic://step22/v1/positive/p00062/left||synthetic://step22/v1/positive/p00062/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:58613,market_item.xlsx|中文暗网交易市场|seller_raw:58613,,step22_unlabeled_seller_205c78cdc542a08d9f32,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:58613,0,1,0,6,6
synthetic://step22/v1/positive/p00063/left||synthetic://step22/v1/positive/p00063/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:574607,market_item.xlsx|中文暗网交易市场|seller_raw:574607,,step22_unlabeled_seller_dfb6a9f23092914515e2,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:574607,0,1,0,6,6
synthetic://step22/v1/positive/p00064/left||synthetic://step22/v1/positive/p00064/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:470888,market_item.xlsx|中文暗网交易市场|seller_raw:470888,,step22_unlabeled_seller_9402170cd87c19ea70e8,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:470888,0,1,0,3,3
synthetic://step22/v1/positive/p00065/left||synthetic://step22/v1/positive/p00065/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/5921,market_item.xlsx|茶马古道|seller_raw:/shop/5921,,step22_unlabeled_seller_750f5700ade72afbc3eb,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/5921,0,1,0,3,3
synthetic://step22/v1/positive/p00066/left||synthetic://step22/v1/positive/p00066/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:48720,market_item.xlsx|中文暗网交易市场|seller_raw:48720,,step22_unlabeled_seller_a4ac7afaf5ed42cfa394,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:48720,0,1,0,5,7
synthetic://step22/v1/positive/p00067/left||synthetic://step22/v1/positive/p00067/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:556868,market_item.xlsx|中文暗网交易市场|seller_raw:556868,,step22_unlabeled_seller_81ff5ae354b676d5dfe4,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:556868,0,1,0,4,4
synthetic://step22/v1/positive/p00068/left||synthetic://step22/v1/positive/p00068/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:142634,market_item.xlsx|中文暗网交易市场|seller_raw:142634,,step22_unlabeled_seller_add85633bcb67d6957d6,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:142634,0,1,0,6,6
synthetic://step22/v1/positive/p00069/left||synthetic://step22/v1/positive/p00069/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:554111,market_item.xlsx|中文暗网交易市场|seller_raw:554111,,step22_unlabeled_seller_040af6caed578f6b6889,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:554111,0,1,0,4,4
synthetic://step22/v1/positive/p00070/left||synthetic://step22/v1/positive/p00070/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/401865,market_item.xlsx|茶马古道|seller_raw:/shop/401865,,step22_unlabeled_seller_a3778cdbb72d2c832f01,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/401865,0,1,0,6,6
synthetic://step22/v1/positive/p00071/left||synthetic://step22/v1/positive/p00071/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/273,market_item.xlsx|茶马古道|seller_raw:/shop/273,,step22_unlabeled_seller_200ded71c505cc5f1267,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/273,0,1,0,6,6
synthetic://step22/v1/positive/p00072/left||synthetic://step22/v1/positive/p00072/right,same_seller_split_positive,market_item.xlsx|中文暗网交易市场|seller_raw:34151,market_item.xlsx|中文暗网交易市场|seller_raw:34151,,zh_target_strict_cc_edff0c321d85e39a,same_observed_seller_account_item_split,market_item.xlsx|中文暗网交易市场|seller_raw:34151,0,1,0,5,4
synthetic://step22/v1/positive/p00073/left||synthetic://step22/v1/positive/p00073/right,same_seller_split_positive,market_item.xlsx|茶马古道|seller_raw:/shop/412039,market_item.xlsx|茶马古道|seller_raw:/shop/412039,,zh_target_strict_cc_3ea8308794671330,same_observed_seller_account_item_split,market_item.xlsx|茶马古道|seller_raw:/shop/412039,0,1,0,5,3
